title,artist,link
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53634?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53633?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53632?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53631?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53630?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53629?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53638?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53637?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53636?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53635?highlight=*:*
Serving Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53619?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53621?highlight=*:*
Serving Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53620?highlight=*:*
Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53623?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53622?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53625?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53624?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53627?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53626?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53628?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53612?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53611?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53610?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53616?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53615?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53614?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53613?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53618?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53617?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53679?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53681?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53680?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53686?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53687?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53688?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53682?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53683?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53684?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53685?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53670?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53669?highlight=*:*
Milk Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53677?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53678?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53675?highlight=*:*
Sugar Bowl,Emma Gillies,https://collections.ed.ac.uk/art/record/53676?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53673?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53674?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53671?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53672?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53659?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53668?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53660?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53661?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53662?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53663?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53664?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53665?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53666?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53667?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53657?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53658?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53651?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53652?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53649?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53650?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53655?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53656?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53653?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53654?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53712?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53713?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53714?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53715?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53716?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53717?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53718?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53709?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53710?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53711?highlight=*:*
Sugar Bowl Lid,Emma Gillies,https://collections.ed.ac.uk/art/record/53725?highlight=*:*
Plate (1924),Emma Gillies,https://collections.ed.ac.uk/art/record/53726?highlight=*:*
Dish,Emma Gillies,https://collections.ed.ac.uk/art/record/53723?highlight=*:*
Sugar Bowl,Emma Gillies,https://collections.ed.ac.uk/art/record/53724?highlight=*:*
Plate (1924),Emma Gillies,https://collections.ed.ac.uk/art/record/53727?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53728?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53721?highlight=*:*
Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53722?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53719?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53720?highlight=*:*
Goat,Emma Gillies,https://collections.ed.ac.uk/art/record/53746?highlight=*:*
Teapot Lid,Emma Gillies,https://collections.ed.ac.uk/art/record/53745?highlight=*:*
Stag,Emma Gillies,https://collections.ed.ac.uk/art/record/53748?highlight=*:*
Horse,Emma Gillies,https://collections.ed.ac.uk/art/record/53747?highlight=*:*
Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53740?highlight=*:*
Double Handled Vessel,Emma Gillies,https://collections.ed.ac.uk/art/record/53739?highlight=*:*
Teapot (1924),Emma Gillies,https://collections.ed.ac.uk/art/record/53742?highlight=*:*
Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53741?highlight=*:*
Teapot Lid,Emma Gillies,https://collections.ed.ac.uk/art/record/53744?highlight=*:*
Teapot (1924),Emma Gillies,https://collections.ed.ac.uk/art/record/53743?highlight=*:*
Vase,Emma Gillies,https://collections.ed.ac.uk/art/record/53737?highlight=*:*
Hand Thrown Pot,Emma Gillies,https://collections.ed.ac.uk/art/record/53736?highlight=*:*
"""Cola"" Bottle",Emma Gillies,https://collections.ed.ac.uk/art/record/53735?highlight=*:*
Hand Thrown Pot,Emma Gillies,https://collections.ed.ac.uk/art/record/53734?highlight=*:*
Vase,Emma Gillies,https://collections.ed.ac.uk/art/record/53738?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53729?highlight=*:*
Hand Thrown Bowl,Emma Gillies,https://collections.ed.ac.uk/art/record/53733?highlight=*:*
Large Bowl,Emma Gillies,https://collections.ed.ac.uk/art/record/53732?highlight=*:*
Dish,Emma Gillies,https://collections.ed.ac.uk/art/record/53731?highlight=*:*
Oval plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53730?highlight=*:*
Cow,Emma Gillies,https://collections.ed.ac.uk/art/record/53757?highlight=*:*
Cow,Emma Gillies,https://collections.ed.ac.uk/art/record/53752?highlight=*:*
Horse,Emma Gillies,https://collections.ed.ac.uk/art/record/53756?highlight=*:*
Bearded Goat,Emma Gillies,https://collections.ed.ac.uk/art/record/53755?highlight=*:*
Goat,Emma Gillies,https://collections.ed.ac.uk/art/record/53754?highlight=*:*
Stag,Emma Gillies,https://collections.ed.ac.uk/art/record/53753?highlight=*:*
Rabbit,Emma Gillies,https://collections.ed.ac.uk/art/record/53751?highlight=*:*
Horse,Emma Gillies,https://collections.ed.ac.uk/art/record/53750?highlight=*:*
Giraffe,Emma Gillies,https://collections.ed.ac.uk/art/record/53749?highlight=*:*
Untitled (2007),Emma Peacock,https://collections.ed.ac.uk/art/record/99889?highlight=*:*
Transposition (Red and Gold) (2014),Emma Smith,https://collections.ed.ac.uk/art/record/47457?highlight=*:*
Tiger Tiger (Unknown),Enid Marx,https://collections.ed.ac.uk/art/record/21664?highlight=*:*
Portrait of a Man,Eric Fleming,https://collections.ed.ac.uk/art/record/21521?highlight=*:*
Unknown (1948),Eric Forrest,https://collections.ed.ac.uk/art/record/50586?highlight=*:*
Unknown (24 Jan 1947),Eric Forrest,https://collections.ed.ac.uk/art/record/50588?highlight=*:*
Portrait of Fred McDonald (1947),Eric Forrest,https://collections.ed.ac.uk/art/record/50589?highlight=*:*
Unknown (1947),Eric Forrest,https://collections.ed.ac.uk/art/record/50587?highlight=*:*
Black and White Abstract (1956),Eric Ritchie,https://collections.ed.ac.uk/art/record/20802?highlight=*:*
Drawing of a Seated Man (1955-1956),Eric Ritchie,https://collections.ed.ac.uk/art/record/20801?highlight=*:*
Seated Female Nude (1955),Eric Ritchie,https://collections.ed.ac.uk/art/record/21194?highlight=*:*
Woman in Floral Dress (Circa 1955),Eric Ritchie,https://collections.ed.ac.uk/art/record/21395?highlight=*:*
Tennis Courts (1952),Eric Ritchie,https://collections.ed.ac.uk/art/record/22641?highlight=*:*
Train Station Interior,Eric Urquhart,https://collections.ed.ac.uk/art/record/21507?highlight=*:*
Portrait of a Woman's Head (1957),Erica M Thomas,https://collections.ed.ac.uk/art/record/20841?highlight=*:*
Boats and Collies (1929),Ernest S. Lumsden,https://collections.ed.ac.uk/art/record/21751?highlight=*:*
Evening Jaipur No.2,Ernest S. Lumsden,https://collections.ed.ac.uk/art/record/21750?highlight=*:*
Untitled (1993),Esther Donaldson,https://collections.ed.ac.uk/art/record/21625?highlight=*:*
Untitled (2007),Esther McGreggor,https://collections.ed.ac.uk/art/record/99895?highlight=*:*
Unknown (1994),Esther Tacke,https://collections.ed.ac.uk/art/record/21914?highlight=*:*
Untitled (1946),Esther W. Hamilton,https://collections.ed.ac.uk/art/record/21730?highlight=*:*
Untitled (1947),Esther W. Hamilton,https://collections.ed.ac.uk/art/record/21731?highlight=*:*
Untitled (1962),Ethel V Hope,https://collections.ed.ac.uk/art/record/99836?highlight=*:*
1st State (Unknown),Euan Gray,https://collections.ed.ac.uk/art/record/21951?highlight=*:*
1st State (Unknown),Euan Gray,https://collections.ed.ac.uk/art/record/21954?highlight=*:*
Life Drawing,Eugene Corolan,https://collections.ed.ac.uk/art/record/99850?highlight=*:*
Untitled (1977),Eve F. Thomson,https://collections.ed.ac.uk/art/record/99826?highlight=*:*
Untitled - Nude Bathing Figures (1963),F. Milner,https://collections.ed.ac.uk/art/record/99365?highlight=*:*
Untitled (1962),F. Milner,https://collections.ed.ac.uk/art/record/21761?highlight=*:*
Felicity Who Went to Peru (1986),Faye Banks,https://collections.ed.ac.uk/art/record/21897?highlight=*:*
Untitled - Pensive Girl (1963),Felicity J Bostock,https://collections.ed.ac.uk/art/record/99371?highlight=*:*
Untitled - Five Miners (1963),Felicity J Bostock,https://collections.ed.ac.uk/art/record/99372?highlight=*:*
Untitled - Seated man in yellow,Fergus A Mathers,https://collections.ed.ac.uk/art/record/99357?highlight=*:*
Portrait of a Seated Man,Finlay Purvis,https://collections.ed.ac.uk/art/record/21518?highlight=*:*
Reclining Female Nude (1955),Fiona C MacCormick,https://collections.ed.ac.uk/art/record/21014?highlight=*:*
Seated Male Nude with Sword (1955),Fiona C MacCormick,https://collections.ed.ac.uk/art/record/21013?highlight=*:*
Untitled (1974),Fiona Carlisle,https://collections.ed.ac.uk/art/record/21594?highlight=*:*
Unknown,Fiona Hewitt,https://collections.ed.ac.uk/art/record/53599?highlight=*:*
Two Seated Female Nudes (1955),Fiona M Mouat,https://collections.ed.ac.uk/art/record/21196?highlight=*:*
Standing Female Nude (1953),Fiona M Mouat,https://collections.ed.ac.uk/art/record/21049?highlight=*:*
Swirl V (1998),Fionna Buck,https://collections.ed.ac.uk/art/record/21674?highlight=*:*
Nude and Kettle (1976),Fionna E. Carlisle,https://collections.ed.ac.uk/art/record/22558?highlight=*:*
Portrait of a Man,Firth,https://collections.ed.ac.uk/art/record/21327?highlight=*:*
Untitled (1966),Forde,https://collections.ed.ac.uk/art/record/22476?highlight=*:*
Unknown,Forrest,https://collections.ed.ac.uk/art/record/53495?highlight=*:*
Portrait of Sister (1958),Frances M. Walker,https://collections.ed.ac.uk/art/record/22680?highlight=*:*
Empty Potato Field,Frances M. Walker,https://collections.ed.ac.uk/art/record/22693?highlight=*:*
Pyreneen Vogel (2002),Frances Ryan,https://collections.ed.ac.uk/art/record/21806?highlight=*:*
A PHP Error was encountered Severity: Notice Message: Undefined index: dctitleen Filename: views/search_results.php Line Number: 93 (1965),Frances Sander,https://collections.ed.ac.uk/art/record/99525?highlight=*:*
A PHP Error was encountered Severity: Notice Message: Undefined index: dctitleen Filename: views/search_results.php Line Number: 93 (1965),Frances Sander,https://collections.ed.ac.uk/art/record/99526?highlight=*:*
Untitled (1965),Frances Sander,https://collections.ed.ac.uk/art/record/99527?highlight=*:*
Unknown (1965),Frances Sander,https://collections.ed.ac.uk/art/record/53595?highlight=*:*
Portrait of Head of a Woman (1952),Frances Walker,https://collections.ed.ac.uk/art/record/20846?highlight=*:*
Portrait of Seated Man in Uniform Holding Pipe (1952),Frances Walker,https://collections.ed.ac.uk/art/record/20847?highlight=*:*
Portrait of Seated Man in Uniform (1952),Frances Walker,https://collections.ed.ac.uk/art/record/20848?highlight=*:*
Unknown,Francis Convery,https://collections.ed.ac.uk/art/record/111440?highlight=*:*
Unknown (1950),Francis Curran,https://collections.ed.ac.uk/art/record/50506?highlight=*:*
Unknown (1950),Francis Curran,https://collections.ed.ac.uk/art/record/50505?highlight=*:*
Rooftop Townscape (Circa 1952),Francis M. Walker,https://collections.ed.ac.uk/art/record/102659?highlight=*:*
Untitled (Unknown),Frank Thomson,https://collections.ed.ac.uk/art/record/21717?highlight=*:*
Untitled (2007),Frea Buckler,https://collections.ed.ac.uk/art/record/99967?highlight=*:*
Untitled - Street Scene (1960),Frederick C White,https://collections.ed.ac.uk/art/record/99453?highlight=*:*
Untitled (Unknown),Frelyn Morton,https://collections.ed.ac.uk/art/record/21969?highlight=*:*
Untitled (2007),Freya Cumming,https://collections.ed.ac.uk/art/record/99894?highlight=*:*
Untitled (1971),G.A. C,https://collections.ed.ac.uk/art/record/21927?highlight=*:*
Cape May (1983),G.M. L.,https://collections.ed.ac.uk/art/record/21975?highlight=*:*
Untitled (Unknown),Gabor Peterdi,https://collections.ed.ac.uk/art/record/21659?highlight=*:*
Untitled (1969),Gabrielle Stubbs,https://collections.ed.ac.uk/art/record/22488?highlight=*:*
Man with Concrete Jungle Record,Garry Campbell,https://collections.ed.ac.uk/art/record/21426?highlight=*:*
Tree-lined Lane,Garry Marshall,https://collections.ed.ac.uk/art/record/21431?highlight=*:*
Composition with Washing Line (Circa 1987),Gary Ferguson,https://collections.ed.ac.uk/art/record/22620?highlight=*:*
"(In ""Head"" 73) (1973)",Gavin Robson,https://collections.ed.ac.uk/art/record/99404?highlight=*:*
Head of a Woman (1948),Gavin Stuart,https://collections.ed.ac.uk/art/record/20827?highlight=*:*
Untitled - Two Women (1961),Gavin Waddell,https://collections.ed.ac.uk/art/record/99455?highlight=*:*
Untitled - Portrait of a Woman with Short Hair (1961),Gavin Waddell,https://collections.ed.ac.uk/art/record/99454?highlight=*:*
Untitled - Nude Female Sitting (1962),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/99367?highlight=*:*
Untitled - Snowy Landscape (1962),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/99368?highlight=*:*
"Barges, 1 Jan '63 (1963)",Geoffrey J Roper,https://collections.ed.ac.uk/art/record/99369?highlight=*:*
Untitled - Nighttime Scene of the City and River (1962),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/99370?highlight=*:*
Three Men (1963),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/21360?highlight=*:*
Crowd in Glasgow (1963),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/21359?highlight=*:*
Seated Nude Woman (1958),George A. MacPherson,https://collections.ed.ac.uk/art/record/22647?highlight=*:*
Unknown (1901),George Bain,https://collections.ed.ac.uk/art/record/50457?highlight=*:*
Unknown (1901),George Bain,https://collections.ed.ac.uk/art/record/50458?highlight=*:*
Portrait of a Seated Woman (1965-1966),George Donald,https://collections.ed.ac.uk/art/record/21172?highlight=*:*
Portrait of a Seated Woman in Fur Coat (1965-1966),George Donald,https://collections.ed.ac.uk/art/record/21173?highlight=*:*
Kneeling Male Nude (1965-1966),George Donald,https://collections.ed.ac.uk/art/record/21174?highlight=*:*
Portrait of Seated Woman (25 Jan 1966),George Donald,https://collections.ed.ac.uk/art/record/21175?highlight=*:*
Portrait of a Man (1966),George Donald,https://collections.ed.ac.uk/art/record/21255?highlight=*:*
Seated Female Nude (1966-1967),George Donald,https://collections.ed.ac.uk/art/record/21094?highlight=*:*
Unknown (1965-1966),George Donald,https://collections.ed.ac.uk/art/record/50376?highlight=*:*
Wrap up (Unknown),George Donald,https://collections.ed.ac.uk/art/record/21825?highlight=*:*
Game Birds,George Glen,https://collections.ed.ac.uk/art/record/53607?highlight=*:*
Untitled (Unknown),George Glen,https://collections.ed.ac.uk/art/record/21726?highlight=*:*
Untitled (Unknown),George Glen,https://collections.ed.ac.uk/art/record/21720?highlight=*:*
Unknown (1960),George H McIntosh,https://collections.ed.ac.uk/art/record/53578?highlight=*:*
Untitled - Abstract Male (1960),George H McIntosh,https://collections.ed.ac.uk/art/record/99396?highlight=*:*
Seated Female Nude (1959),George H McIntosh,https://collections.ed.ac.uk/art/record/21063?highlight=*:*
Kneeling Male Nude (1953),George Hamilton,https://collections.ed.ac.uk/art/record/20932?highlight=*:*
Seated Female Nude (1953),George Hamilton,https://collections.ed.ac.uk/art/record/20931?highlight=*:*
Abstract Composition in Green with Curved Recess (1967),George M. Donald,https://collections.ed.ac.uk/art/record/22509?highlight=*:*
Abstract in Brown and Blue (1988),George M. Glen,https://collections.ed.ac.uk/art/record/22565?highlight=*:*
Abstract in Brown and Blue (1988),George M. Glen,https://collections.ed.ac.uk/art/record/22544?highlight=*:*
Seated Male Nude (1959),George Mackintosh,https://collections.ed.ac.uk/art/record/20884?highlight=*:*
Standing Male Nude leaning on a Plinth (1959),George Mackintosh,https://collections.ed.ac.uk/art/record/20885?highlight=*:*
Unknown (1952),George Roderick Carmichael,https://collections.ed.ac.uk/art/record/50568?highlight=*:*
Portrait (1953),George Roderick Carmichael,https://collections.ed.ac.uk/art/record/22644?highlight=*:*
Unknown,George Roderick Carmichael,https://collections.ed.ac.uk/art/record/50566?highlight=*:*
Unknown (1950),George Roderick Carmichael,https://collections.ed.ac.uk/art/record/50567?highlight=*:*
Unknown (1952),George Roderick Carmichael,https://collections.ed.ac.uk/art/record/50569?highlight=*:*
Untitled (1968),Gerard McGeary,https://collections.ed.ac.uk/art/record/22006?highlight=*:*
Unknown,Gibbs,https://collections.ed.ac.uk/art/record/50415?highlight=*:*
Domestic Landscape I (2005),Giedre Karsokiene,https://collections.ed.ac.uk/art/record/99969?highlight=*:*
Untitled (2003),Gillian Curry,https://collections.ed.ac.uk/art/record/99927?highlight=*:*
Untitled (2002),Gillian Curry,https://collections.ed.ac.uk/art/record/99939?highlight=*:*
Unknown (1968),Gillian Mather,https://collections.ed.ac.uk/art/record/53589?highlight=*:*
Untitled (1966),Gillian Mather,https://collections.ed.ac.uk/art/record/22002?highlight=*:*
Untitled (1968),Gillian Mather,https://collections.ed.ac.uk/art/record/22500?highlight=*:*
Untitled (1968),Gillian Mather,https://collections.ed.ac.uk/art/record/22501?highlight=*:*
Big Top (Circa 1968),Gillian Mather,https://collections.ed.ac.uk/art/record/21485?highlight=*:*
Untitled (Unknown),Glen M. K. Onwin,https://collections.ed.ac.uk/art/record/21822?highlight=*:*
Unknown,Gordon Anderson,https://collections.ed.ac.uk/art/record/50411?highlight=*:*
Untitled (2007),Gordon Brennan,https://collections.ed.ac.uk/art/record/99976?highlight=*:*
Untitled - Drawing of a Girl Sitting in Profile (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99325?highlight=*:*
Untitled - Figure Drawing of a Man on a Stool (1964),Gordon Bryce,https://collections.ed.ac.uk/art/record/99326?highlight=*:*
Untitled - Figured Drawing of Nude Woman on a Couch (1963),Gordon Bryce,https://collections.ed.ac.uk/art/record/99329?highlight=*:*
Untitled - Figured Drawing of Woman in Early Ninteenth Century Costume (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99328?highlight=*:*
Untitled - Portrait of Woman in Profile (1963),Gordon Bryce,https://collections.ed.ac.uk/art/record/99327?highlight=*:*
High St. Harlesden (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99283?highlight=*:*
Untitled - Figure Drawing of Semi-Nude Male with Water Jug (1964),Gordon Bryce,https://collections.ed.ac.uk/art/record/99284?highlight=*:*
Untitled - Figure Drawing of A Woman with Pig Tails (1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99281?highlight=*:*
Highstreet Harlesden (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99282?highlight=*:*
Portrait of Joe (1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99279?highlight=*:*
Untitled - Two Chefs in a Dark Room (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99280?highlight=*:*
Untitled - Abstracted Shapes in Greys and Greens (1963),Gordon Bryce,https://collections.ed.ac.uk/art/record/99277?highlight=*:*
Untitled - Reclining Nude Woman in Pastel (1963),Gordon Bryce,https://collections.ed.ac.uk/art/record/99276?highlight=*:*
Untitled - Figure Drawing of A Nude Woman Lying Down (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99278?highlight=*:*
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99274?highlight=*:*
Untitled - Figure Drawing of A Standing Nude Male Draped with a Robe (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99275?highlight=*:*
Abstract Composition in Yellow and Blue (Circa 1976),Gordon MacDonald,https://collections.ed.ac.uk/art/record/22556?highlight=*:*
Blackbird on Toys,Gordon Mitchell,https://collections.ed.ac.uk/art/record/22560?highlight=*:*
Reverse Reserve (1975),Gordon Mitchell,https://collections.ed.ac.uk/art/record/22522?highlight=*:*
Composition (1987),Gordon W. Boyd,https://collections.ed.ac.uk/art/record/22564?highlight=*:*
Standing Male Nude (1959),Grace Nichol,https://collections.ed.ac.uk/art/record/20956?highlight=*:*
Two Views of a Man Seated (1959),Grace Nichol,https://collections.ed.ac.uk/art/record/21120?highlight=*:*
Portrait of a Man (1959),Grace Nichol,https://collections.ed.ac.uk/art/record/21119?highlight=*:*
Untitled (2002),Grace Paul,https://collections.ed.ac.uk/art/record/99934?highlight=*:*
Mask and Plastic Limbs (Circa 1982),Graeme Magee,https://collections.ed.ac.uk/art/record/22533?highlight=*:*
Architectural Drawing,Graeme McKenna,https://collections.ed.ac.uk/art/record/21459?highlight=*:*
Untitled - Two Abstract Melting Faces (1985-1986),Graeme Murray,https://collections.ed.ac.uk/art/record/99335?highlight=*:*
Portrait of a Man,Graeme Murray,https://collections.ed.ac.uk/art/record/21474?highlight=*:*
Seated Male Nude,Graham Durward,https://collections.ed.ac.uk/art/record/22568?highlight=*:*
Ship in Dry Dock,Graham High,https://collections.ed.ac.uk/art/record/22532?highlight=*:*
Untitled (Unknown),Gregg Magee,https://collections.ed.ac.uk/art/record/21639?highlight=*:*
Seated Figure with Gun,Gregg Magee,https://collections.ed.ac.uk/art/record/21448?highlight=*:*
Untitled (2006),Greggory Bradford,https://collections.ed.ac.uk/art/record/99877?highlight=*:*
Untitled (1965),Gregor Smith,https://collections.ed.ac.uk/art/record/22009?highlight=*:*
Self-Portrait (1967),Gregor Smith,https://collections.ed.ac.uk/art/record/99398?highlight=*:*
Untitled - Man at a Factory (1966-1967),Gregor Smith,https://collections.ed.ac.uk/art/record/99397?highlight=*:*
Unknown (May 1963),Gregor Smith,https://collections.ed.ac.uk/art/record/53501?highlight=*:*
Seated Male Nude with Glasses (Circa 1968),Gregory Lummell,https://collections.ed.ac.uk/art/record/21284?highlight=*:*
Untitled (2002-2007),Greta Grendaite,https://collections.ed.ac.uk/art/record/99897?highlight=*:*
Untitled (1967),Gwen Mackenzie,https://collections.ed.ac.uk/art/record/21755?highlight=*:*
Unknown (1967),Gwen Mackenzie,https://collections.ed.ac.uk/art/record/50496?highlight=*:*
Untitled (1967),Gwen Mackenzie,https://collections.ed.ac.uk/art/record/111034?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,https://collections.ed.ac.uk/art/record/21151?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,https://collections.ed.ac.uk/art/record/21152?highlight=*:*
Self Portrait against Window (Circa 1983),Gwen W. Hardie,https://collections.ed.ac.uk/art/record/22593?highlight=*:*
Large Head (Circa 1983),Gwen W. Hardie,https://collections.ed.ac.uk/art/record/22622?highlight=*:*
Nude in Sunlight (1983),Gwen W. Hardie,https://collections.ed.ac.uk/art/record/22542?highlight=*:*
Untitled - Still Life With Flowers (1961-1962),Gwendolene E Roger,https://collections.ed.ac.uk/art/record/99400?highlight=*:*
Untitled - Girl with Crows (1961-1962),Gwendolene E Roger,https://collections.ed.ac.uk/art/record/99399?highlight=*:*
Reclining Female Nude (1961),Gwendolene H. MacKenzie,https://collections.ed.ac.uk/art/record/22718?highlight=*:*
Seated Male Nude (1961),Gwendoline Rodger,https://collections.ed.ac.uk/art/record/21289?highlight=*:*
