score,rank,ethnicity,gender,language,age,cls_perc_eval,cls_did_eval,cls_students,cls_level,cls_profs,cls_credits,bty_f1lower,bty_f1upper,bty_f2upper,bty_m1lower,bty_m1upper,bty_m2upper
4.6,tenured,not minority,female,english,38,74.45255,102,137,lower,multiple,multi credit,6,8,9,4,5,7
4.7,tenured,not minority,female,english,38,84.05797,58,69,upper,multiple,multi credit,6,8,9,4,5,7
4.1,tenure track,not minority,female,english,34,59.34066,54,91,lower,multiple,multi credit,2,1,4,1,1,1
3.8,tenure track,not minority,female,english,34,57.5,46,80,lower,multiple,multi credit,2,1,4,1,1,1
4,tenure track,not minority,female,english,34,58.88889,53,90,lower,multiple,multi credit,2,1,4,1,1,1
4.1,tenure track,not minority,female,english,34,55.88235,19,34,upper,multiple,multi credit,2,1,4,1,1,1
4,tenure track,not minority,female,english,34,56.16438,41,73,upper,multiple,multi credit,2,1,4,1,1,1
4.1,tenure track,not minority,female,english,34,56.81818,25,44,upper,multiple,multi credit,2,1,4,1,1,1
3.5,tenure track,not minority,male,english,34,66.66666,24,36,upper,multiple,multi credit,6,7,7,6,8,6
4.1,tenure track,not minority,male,english,34,80,16,20,upper,single,multi credit,6,7,7,6,8,6
3.6,tenure track,not minority,male,english,34,57.14286,20,35,lower,multiple,multi credit,6,7,7,6,8,6
4,tenure track,not minority,male,english,32,34.27419,85,248,lower,multiple,multi credit,3,7,3,3,3,3
3.9,tenure track,not minority,male,english,32,41.07143,69,168,lower,multiple,multi credit,3,7,3,3,3,3
3.8,tenure track,not minority,male,english,32,39.67611,98,247,lower,multiple,multi credit,3,7,3,3,3,3
4.4,tenure track,not minority,male,english,32,90.90909,20,22,upper,single,multi credit,3,8,3,3,3,3
4.7,tenure track,not minority,male,english,32,69.90292,72,103,upper,multiple,multi credit,3,8,3,3,3,3
3.8,tenured,not minority,female,english,42,70.96774,44,62,lower,multiple,multi credit,5,5,8,6,8,5
4.1,tenured,not minority,female,english,42,62.19512,51,82,upper,multiple,multi credit,5,5,8,6,8,5
4.1,tenured,not minority,female,english,43,68.62745,35,51,lower,multiple,multi credit,2,3,5,3,3,4
4.7,tenured,not minority,female,english,43,51.42857,18,35,upper,multiple,multi credit,2,3,5,3,3,4
4.3,tenured,not minority,female,english,43,76.47059,26,34,lower,multiple,multi credit,2,3,5,3,3,4
4.4,tenured,not minority,female,english,43,75.67567,28,37,lower,multiple,multi credit,2,3,5,3,3,4
4.5,tenured,not minority,female,english,43,92.85714,13,14,lower,multiple,multi credit,2,3,5,3,3,4
3.1,tenured,not minority,female,english,43,65.41354,174,266,lower,multiple,multi credit,2,3,5,3,3,4
3.7,tenured,not minority,female,english,43,67.32284,171,254,lower,multiple,multi credit,2,3,5,3,3,4
4.5,tenured,not minority,female,english,43,76.92308,10,13,upper,multiple,multi credit,2,3,5,3,3,4
3,tenured,not minority,female,english,43,58.86525,166,282,lower,multiple,multi credit,2,3,5,3,3,4
4.6,tenured,not minority,female,english,43,100,17,17,upper,multiple,multi credit,2,3,5,3,3,4
3.7,tenure track,not minority,male,non-english,35,57.89474,11,19,upper,single,multi credit,4,3,3,4,3,5
3.6,tenure track,not minority,male,non-english,35,52.38095,22,42,lower,multiple,multi credit,4,3,3,4,3,5
3.2,tenured,not minority,female,english,62,81.48148,22,27,upper,multiple,multi credit,1,5,5,1,4,5
3.3,tenured,not minority,female,english,62,56.25,9,16,upper,multiple,multi credit,1,5,5,1,4,5
2.9,tenured,not minority,female,english,62,73.68421,14,19,upper,multiple,multi credit,1,5,5,1,4,5
4.2,tenured,not minority,male,english,42,52.32558,45,86,upper,multiple,multi credit,3,1,6,1,1,4
4.5,tenured,not minority,male,english,39,75.86207,22,29,upper,multiple,multi credit,5,8,6,4,5,6
3.8,tenured,not minority,female,english,52,72.72727,64,88,upper,multiple,multi credit,5,7,7,3,8,6
3.7,tenured,not minority,female,english,52,71.42857,70,98,upper,multiple,multi credit,5,7,7,3,8,6
3.7,tenured,not minority,female,english,52,70.45454,31,44,upper,multiple,multi credit,6,7,9,5,6,6
4,tenured,not minority,female,english,52,75.38461,49,65,upper,multiple,multi credit,6,7,9,5,6,6
3.7,tenured,not minority,female,english,52,50.79365,32,63,upper,multiple,multi credit,6,7,9,5,6,6
4.5,teaching,not minority,female,english,52,78.66666,59,75,upper,multiple,multi credit,2,3,4,2,1,2
3.8,teaching,not minority,female,english,52,81.39535,35,43,upper,multiple,multi credit,2,3,4,2,1,2
3.9,teaching,not minority,female,english,52,73.75,59,80,upper,multiple,multi credit,2,3,4,2,1,2
4.6,teaching,not minority,female,english,52,86.53846,45,52,upper,multiple,multi credit,2,3,4,2,1,2
4.5,teaching,not minority,female,english,52,70.83334,34,48,upper,multiple,multi credit,2,3,4,2,1,2
4.2,teaching,not minority,female,english,52,75.75758,50,66,upper,multiple,multi credit,2,3,4,2,1,2
4,teaching,not minority,female,english,52,67,67,100,upper,multiple,multi credit,2,3,4,2,1,2
3.8,tenured,not minority,male,english,64,81.81818,9,11,upper,multiple,multi credit,2,3,3,2,1,3
3.5,tenured,not minority,male,english,64,50,8,16,upper,multiple,multi credit,2,3,3,2,1,3
2.7,tenured,not minority,male,english,64,81.81818,18,22,upper,multiple,multi credit,2,3,3,2,1,3
4,tenured,not minority,male,english,64,45.45454,5,11,upper,multiple,multi credit,2,3,3,2,1,3
4.6,tenured,not minority,male,english,64,50,5,10,upper,multiple,multi credit,2,3,3,2,1,3
3.9,tenured,not minority,male,english,64,100,16,16,upper,multiple,multi credit,2,3,3,2,1,3
4.5,tenured,not minority,male,english,50,93.75,15,16,upper,multiple,multi credit,6,7,9,6,8,7
3.7,tenured,not minority,male,english,50,90,9,10,upper,multiple,multi credit,6,7,9,6,8,7
2.4,tenured,not minority,male,english,60,71.875,23,32,upper,multiple,multi credit,1,1,2,2,2,2
3.1,tenured,not minority,male,english,60,70,7,10,upper,multiple,multi credit,1,1,2,2,2,2
2.5,tenured,not minority,male,english,60,62.5,10,16,upper,multiple,multi credit,1,1,2,2,2,2
3,tenured,not minority,female,english,51,70.14925,47,67,upper,multiple,multi credit,4,5,7,4,5,6
4.5,tenure track,not minority,male,english,43,86.36364,19,22,lower,multiple,multi credit,3,4,4,2,4,4
4.8,tenure track,not minority,male,english,43,53.57143,15,28,lower,multiple,one credit,3,4,4,2,4,4
4.9,tenure track,not minority,male,english,43,60,18,30,lower,multiple,one credit,3,4,4,2,4,4
4.5,tenure track,not minority,male,english,43,73.33334,11,15,lower,multiple,multi credit,3,4,4,2,4,4
4.6,tenure track,not minority,male,english,43,76.92308,10,13,lower,multiple,multi credit,3,4,4,2,4,4
4.5,tenure track,not minority,male,english,43,94.44444,17,18,lower,multiple,one credit,3,4,4,2,4,4
4.9,tenure track,not minority,male,english,43,84.61539,22,26,lower,multiple,one credit,3,4,4,2,4,4
4.4,tenure track,not minority,male,english,43,60,18,30,lower,multiple,one credit,3,4,4,2,4,4
4.6,tenure track,not minority,male,english,43,100,14,14,lower,multiple,multi credit,3,4,4,2,4,4
4.6,teaching,minority,male,english,50,70.83334,17,24,lower,multiple,one credit,1,5,4,1,4,5
5,teaching,minority,male,english,50,90.90909,20,22,lower,multiple,one credit,1,5,4,1,4,5
4.9,teaching,minority,male,english,50,84,21,25,lower,multiple,one credit,1,5,4,1,4,5
4.6,teaching,minority,male,english,50,88.46154,23,26,lower,multiple,one credit,1,5,4,1,4,5
4.8,teaching,minority,male,english,50,86.36364,19,22,lower,multiple,one credit,1,5,4,1,4,5
4.9,teaching,minority,male,english,50,76.92308,20,26,lower,multiple,one credit,1,5,4,1,4,5
4.9,teaching,minority,male,english,50,85,17,20,lower,multiple,one credit,1,5,4,1,4,5
4.9,teaching,minority,male,english,50,81.81818,18,22,lower,multiple,one credit,1,5,4,1,4,5
5,teaching,minority,male,english,50,95.2381,20,21,lower,multiple,one credit,1,5,4,1,4,5
4.5,teaching,minority,male,english,50,90.47619,19,21,lower,multiple,one credit,1,5,4,1,4,5
3.5,tenured,not minority,male,english,52,66.66666,46,69,upper,multiple,multi credit,7,6,6,5,5,6
3.8,tenured,not minority,male,english,52,70.76923,46,65,upper,multiple,multi credit,7,6,6,5,5,6
3.9,tenured,not minority,male,english,52,62.90322,39,62,upper,multiple,multi credit,7,6,6,5,5,6
3.9,tenured,not minority,male,english,52,50.74627,34,67,upper,multiple,multi credit,7,6,6,5,5,6
4.2,tenured,not minority,male,english,52,72.5,29,40,upper,multiple,multi credit,7,6,6,5,5,6
4.1,tenured,not minority,male,english,52,60,27,45,upper,multiple,multi credit,7,6,6,5,5,6
4.8,tenured,not minority,male,english,51,60.62718,348,574,lower,multiple,multi credit,6,7,8,6,6,4
4.8,tenured,not minority,male,english,51,64.2487,372,579,lower,multiple,multi credit,6,7,8,6,6,4
4.8,tenured,not minority,male,english,51,63.87337,343,537,lower,multiple,multi credit,6,7,8,6,6,4
4.8,tenured,not minority,male,english,51,65.40447,380,581,lower,multiple,multi credit,6,7,8,6,6,4
4.9,tenured,not minority,male,english,51,61.10057,322,527,lower,multiple,multi credit,6,7,8,6,6,4
4.2,tenured,not minority,male,english,38,50.57471,44,87,lower,multiple,multi credit,3,4,4,2,3,4
4.5,tenured,not minority,male,english,38,78.57143,66,84,lower,multiple,multi credit,3,4,4,2,3,4
3.9,tenured,not minority,male,english,38,50.63291,40,79,lower,multiple,multi credit,3,4,4,2,3,4
4.4,tenured,not minority,male,english,38,65.21739,60,92,lower,multiple,multi credit,3,4,4,2,3,4
4,tenured,not minority,female,english,47,79.16666,19,24,lower,single,multi credit,5,7,6,3,6,4
3.6,tenured,not minority,female,english,47,56.71642,38,67,lower,single,multi credit,5,7,6,3,6,4
3.7,tenured,minority,female,english,43,45.63107,47,103,lower,multiple,multi credit,5,6,4,2,4,4
2.7,tenured,minority,female,english,43,48.94737,93,190,lower,multiple,multi credit,5,6,4,2,4,4
4.5,teaching,not minority,female,english,38,48.52941,33,68,lower,multiple,multi credit,3,4,2,1,3,2
4.4,teaching,not minority,female,english,38,60,36,60,lower,single,multi credit,3,4,2,1,3,2
3.9,teaching,not minority,female,english,38,45.3125,29,64,lower,single,multi credit,3,4,2,1,3,2
3.6,teaching,not minority,female,english,38,74.19355,23,31,lower,single,multi credit,3,4,2,1,3,2
4.4,teaching,not minority,female,english,38,58.06452,36,62,lower,multiple,multi credit,3,4,2,1,3,2
4.4,teaching,not minority,female,english,38,81.08108,30,37,lower,multiple,multi credit,3,4,2,1,3,2
4.7,tenured,not minority,male,english,43,76.92308,10,13,lower,multiple,multi credit,4,4,5,4,4,5
4.5,tenured,not minority,male,english,43,61.53846,8,13,lower,multiple,multi credit,4,4,5,4,4,5
4.1,tenured,not minority,male,english,43,80,12,15,upper,single,multi credit,4,4,5,4,4,5
3.7,tenured,not minority,male,english,43,82.27848,65,79,upper,single,multi credit,4,4,5,4,4,5
4.3,tenured,not minority,male,english,57,53.84615,7,13,upper,multiple,multi credit,3,4,3,2,3,3
3.5,tenured,not minority,male,english,57,54.08163,53,98,upper,multiple,multi credit,3,4,3,2,3,3
3.7,tenured,not minority,male,english,57,59.79382,58,97,upper,multiple,multi credit,3,4,3,2,3,3
4,tenured,not minority,female,english,51,81.81818,9,11,upper,multiple,multi credit,5,8,5,6,8,6
4,tenured,not minority,female,english,51,85.89744,67,78,upper,multiple,multi credit,5,8,5,6,8,6
3.1,tenured,not minority,female,english,51,64.28571,36,56,upper,multiple,multi credit,5,8,5,6,8,6
4.5,tenured,not minority,female,english,51,85,17,20,upper,multiple,multi credit,5,8,5,6,8,6
4.8,teaching,not minority,male,english,45,70.58823,12,17,lower,single,one credit,1,4,2,5,4,4
4.2,teaching,not minority,male,english,45,85,17,20,lower,multiple,one credit,1,4,2,5,4,4
4.9,teaching,not minority,male,english,45,68.42105,13,19,lower,multiple,multi credit,1,4,2,5,4,4
4.8,teaching,not minority,male,english,45,73.07692,19,26,lower,multiple,one credit,1,4,2,5,4,4
3.5,tenured,not minority,male,english,57,92.85714,13,14,lower,multiple,multi credit,2,3,3,2,1,6
3.6,tenured,not minority,male,english,57,66.66666,12,18,lower,single,multi credit,2,3,3,2,1,6
4.4,tenured,not minority,male,english,57,100,12,12,lower,single,multi credit,2,3,3,2,1,6
3.4,tenured,not minority,male,english,57,84.21053,16,19,lower,multiple,multi credit,2,3,3,2,1,6
3.9,tenured,not minority,male,english,57,75,12,16,lower,multiple,multi credit,2,3,3,2,1,6
3.8,tenured,not minority,male,english,57,87.5,14,16,lower,multiple,multi credit,2,3,3,2,1,6
4.8,tenured,not minority,male,english,57,91.66666,11,12,lower,multiple,multi credit,2,3,3,2,1,6
4.6,tenured,not minority,male,english,57,88.23529,15,17,lower,multiple,multi credit,2,3,3,2,1,6
5,tenured,not minority,male,english,57,40,6,15,upper,multiple,multi credit,2,3,3,2,1,6
3.8,tenured,not minority,male,english,57,93.75,15,16,lower,multiple,multi credit,2,3,3,2,1,6
4.2,tenured,not minority,male,english,57,70.58823,12,17,lower,multiple,multi credit,2,3,3,2,1,6
3.3,teaching,not minority,female,english,47,76.19048,16,21,lower,multiple,multi credit,8,6,6,4,9,7
4.7,teaching,not minority,female,english,47,88.23529,15,17,lower,multiple,one credit,8,6,6,4,9,7
4.6,teaching,not minority,female,english,47,100,10,10,lower,multiple,one credit,8,6,6,4,9,7
4.6,teaching,not minority,female,english,47,94.11765,16,17,lower,multiple,one credit,8,6,6,4,9,7
4,teaching,not minority,female,english,47,88.23529,15,17,lower,multiple,multi credit,8,6,6,4,9,7
4.2,tenured,minority,female,english,54,100,18,18,lower,single,multi credit,8,5,8,4,9,7
4.9,tenured,minority,female,english,54,93.75,15,16,lower,single,multi credit,8,5,8,4,9,7
4.5,tenured,minority,female,english,54,80.76923,21,26,lower,single,multi credit,8,5,8,4,9,7
4.8,tenured,minority,female,english,54,77.77778,14,18,lower,single,multi credit,8,5,8,4,9,7
3.8,tenured,minority,female,english,54,80,16,20,lower,single,multi credit,8,5,8,4,9,7
4.8,teaching,not minority,male,english,58,94.11765,16,17,lower,single,multi credit,8,8,9,6,8,8
5,teaching,not minority,male,english,58,100,21,21,lower,single,multi credit,8,8,9,6,8,8
5,teaching,not minority,male,english,58,85.71429,18,21,lower,single,multi credit,8,8,9,6,8,8
4.9,teaching,not minority,male,english,58,85,17,20,lower,single,multi credit,8,8,9,6,8,8
4.6,teaching,not minority,male,english,58,95,19,20,lower,single,multi credit,8,8,9,6,8,8
5,teaching,not minority,male,english,58,84.61539,11,13,lower,single,multi credit,8,8,9,6,8,8
4.8,teaching,not minority,male,english,58,87.5,14,16,lower,single,multi credit,8,8,9,6,8,8
4.9,teaching,not minority,male,english,58,94.11765,16,17,lower,multiple,multi credit,8,8,9,6,8,8
4.9,tenured,not minority,male,english,42,83.33334,15,18,lower,multiple,multi credit,8,7,10,6,8,8
3.9,tenured,not minority,male,english,42,91.66666,22,24,lower,multiple,multi credit,8,7,10,6,8,8
3.9,tenured,not minority,male,english,42,85,17,20,upper,multiple,multi credit,8,7,10,6,8,8
4.5,tenure track,not minority,male,english,33,70.83334,85,120,lower,multiple,multi credit,6,7,6,5,6,5
4.5,tenure track,not minority,male,english,33,43.22581,67,155,lower,multiple,multi credit,6,7,6,5,6,5
3.3,tenured,not minority,male,english,62,28.94737,11,38,lower,multiple,multi credit,1,1,1,4,1,4
3.1,tenured,not minority,male,english,62,40,28,70,lower,multiple,multi credit,1,1,1,4,1,4
2.8,tenured,not minority,male,english,62,40.9396,61,149,lower,multiple,multi credit,1,1,1,4,1,4
3.1,tenured,not minority,male,english,62,35.76642,49,137,lower,multiple,multi credit,1,1,1,4,1,4
4.2,tenured,not minority,male,english,62,44.82759,13,29,upper,multiple,multi credit,1,1,1,4,1,4
3.4,tenured,not minority,male,english,62,50.90909,28,55,lower,multiple,multi credit,1,1,1,4,1,4
3,tenured,not minority,male,english,62,49.26471,67,136,lower,multiple,multi credit,1,1,1,4,1,4
3.3,tenure track,minority,female,english,35,62.5,60,96,lower,multiple,multi credit,7,9,10,6,7,8
3.6,tenure track,minority,female,english,35,33.33333,20,60,lower,multiple,multi credit,7,9,10,6,7,8
3.7,tenure track,minority,female,english,35,39.81482,43,108,lower,multiple,multi credit,7,9,10,6,7,8
3.6,tenured,not minority,male,english,61,69.23077,27,39,lower,multiple,multi credit,3,2,7,1,3,4
4.3,tenured,not minority,male,english,61,86.66666,13,15,lower,multiple,multi credit,3,2,7,1,3,4
4.1,tenured,not minority,female,english,52,54.95496,61,111,lower,multiple,multi credit,4,8,5,3,4,3
4.9,tenured,not minority,female,english,52,82.35294,14,17,lower,multiple,multi credit,4,8,5,3,4,3
4.8,tenured,not minority,female,english,52,100,19,19,lower,multiple,multi credit,4,8,5,3,4,3
3.7,tenure track,not minority,female,non-english,60,85.18519,23,27,upper,multiple,multi credit,4,6,6,2,3,5
3.9,tenure track,not minority,female,non-english,60,94.73684,18,19,upper,multiple,multi credit,4,6,6,2,3,5
4.5,tenure track,not minority,female,non-english,60,84.61539,11,13,upper,multiple,multi credit,4,6,6,2,3,5
3.6,tenure track,not minority,female,non-english,60,94.73684,18,19,upper,multiple,multi credit,4,6,6,2,3,5
4.4,tenure track,not minority,female,non-english,60,50,11,22,upper,multiple,multi credit,4,6,6,2,3,5
3.4,tenure track,not minority,female,non-english,60,35,7,20,upper,multiple,multi credit,4,6,6,2,3,5
4.4,tenure track,not minority,female,non-english,60,88.88889,24,27,upper,multiple,multi credit,4,6,6,2,3,5
4.5,tenure track,not minority,male,english,32,74.24242,98,132,lower,multiple,multi credit,6,6,9,7,8,5
4.5,tenure track,not minority,male,english,32,87.40157,111,127,lower,multiple,multi credit,6,6,9,7,8,5
4.5,tenure track,not minority,male,english,32,72.94118,62,85,upper,multiple,multi credit,6,6,9,7,8,5
4.6,tenure track,not minority,male,english,32,75.24753,76,101,lower,multiple,multi credit,6,6,9,7,8,5
4.1,tenure track,not minority,male,english,32,42.85714,9,21,lower,multiple,multi credit,6,6,9,7,8,5
4.5,tenure track,not minority,male,english,32,60.46511,52,86,upper,multiple,multi credit,6,6,9,7,8,5
3.5,tenure track,minority,female,non-english,42,57.14286,48,84,upper,multiple,multi credit,3,8,7,4,6,4
4.4,tenure track,minority,female,non-english,42,77.61194,52,67,upper,multiple,multi credit,3,8,7,4,6,4
4.4,tenure track,minority,female,non-english,42,81.81818,54,66,upper,multiple,multi credit,3,8,7,4,6,4
4.1,tenure track,minority,female,non-english,42,80,28,35,lower,multiple,one credit,3,8,7,4,6,4
