FID;OBJECTID;AmbulanceR;BikeAge_Gr;Bike_Age;Bike_Alc_D;Bike_Dir;Bike_Injur;Bike_Pos;Bike_Race;Bike_Sex;City;County;CrashAlcoh;CrashDay;Crash_Date;Crash_Grp;Crash_Hour;Crash_Loc;Crash_Mont;Crash_Time;Crash_Type;Crash_Ty_1;Crash_Year;Crsh_Sevri;Developmen;DrvrAge_Gr;Drvr_Age;Drvr_Alc_D;Drvr_EstSp;Drvr_Injur;Drvr_Race;Drvr_Sex;Drvr_VehTy;ExcsSpdInd;Hit_Run;Light_Cond;Locality;Num_Lanes;Num_Units;Rd_Charact;Rd_Class;Rd_Conditi;Rd_Config;Rd_Defects;Rd_Feature;Rd_Surface;Region;Rural_Urba;Speed_Limi;Traff_Cntr;Weather;Workzone_I;Location
864;865;No;15-Nov;14;No;With Traffic;O: No Injury;Travel Lane;Black;Male;Kannapolis;Cabarrus;No;01-01-03;2007-10-17;Bicyclist Failed to Yield - Sign-Controlled Intersection;18;Intersection;01-10-01;0001-01-01T13:58:58-04:56;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2007;O: No Injury;Residential;40-49;42;No;21-25 mph;O: No Injury;Native American;Male;Sport Utility;No;No;Dusk;Mixed (30% To 70% Developed);2 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.486828, -80.616745
866;867;No;;;Missing;With Traffic;Injury;Travel Lane;/Missing;;None - Rural Crash;Pitt;No;01-01-05;2007-10-19;Motorist Overtaking Bicyclist;19;Non-Intersection;01-10-01;0001-01-01T14:03:58-04:56;Motorist Overtaking - Other /;311239;2007;O: No Injury;Residential;0-19;16;No;6-10 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Public;Coarse Asphalt;Coastal;Rural;20 - 25  MPH;No Control Present;Clear;No;35.67268, -77.5185
867;868;No;16-19;19;No;Not Applicable;B: Evident Injury;Non-Roadway;White;Male;Dudley;Wayne;No;01-01-05;2007-10-19;Bicyclist Failed to Yield - Midblock;13;Non-Intersection;01-10-01;0001-01-01T08:56:58-04:56;Bicyclist Ride Out - Commercial Driveway / Alley;363312;2007;B: Evident Injury;Commercial;50-59;54;No;41-45 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;US Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Cloudy;No;35.26771, -78.04223
878;879;No;15-Nov;15;No;Not Applicable;B: Evident Injury;Non-Roadway;Black;Male;Winterville;Pitt;No;01-01-02;2007-10-23;Parallel Paths - Other Circumstances;12;Non-Intersection;01-10-01;0001-01-01T07:18:58-04:56;Motorist Turn / Merge - Other /;363219;2007;B: Evident Injury;Commercial;;;No;0-5 mph;Injury;/Missing;;Passenger Car;No;Yes;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;No Control Present;Clear;No;35.52881, -77.40321
879;880;Yes;25-29;28;No;With Traffic;C: Possible Injury;Travel Lane;White;Female;Asheville;Buncombe;No;01-01-03;2007-10-24;Parallel Paths - Other Circumstances;8;Non-Intersection;01-10-01;0001-01-01T03:07:58-04:56;Parallel Paths - Other /;311280;2007;C: Possible Injury;Commercial;;;Missing;21-25 mph;Injury;/Missing;;;No;Yes;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Wet;One-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Mountains;Urban;30 - 35  MPH;No Control Present;Rain;No;35.609737, -82.565254
888;889;No;15-Nov;12;No;Not Applicable;B: Evident Injury;;Black;Male;Burlington;Alamance;No;;2007-10-29;Bicyclist Failed to Yield - Midblock;15;Non-Intersection;01-10-01;0001-01-01T10:07:58-04:56;Bicyclist Ride Out - Midblock -;393319;2007;B: Evident Injury;Commercial;0-19;17;No;6-10 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2;Straight - Level;US Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;No Control Present;Clear;No;36.093678, -79.398575
903;904;Yes;10-Jun;10;No;Facing Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Catawba;No;01-01-07;2007-11-04;Bicyclist Right Turn / Merge;18;Non-Intersection;01-11-01;0001-01-01T13:03:58-04:56;Bicyclist Right Turn - Same Direction;312223;2007;B: Evident Injury;Residential;20-24;22;No;26-30 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Rural;30 - 35  MPH;No Control Present;Clear;No;35.679188, -81.36237
905;906;Yes;30-39;32;No;Not Applicable;C: Possible Injury;;White;Male;Gastonia;Gaston;No;;2007-11-05;Bicyclist Failed to Yield - Midblock;8;Non-Intersection;01-11-01;0001-01-01T03:04:58-04:56;Bicyclist Ride Out - Midblock -;393319;2007;C: Possible Injury;Residential;25-29;27;No;26-30 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.2492, -81.17493
912;913;No;25-29;25;No;With Traffic;O: No Injury;Travel Lane;White;Female;Raleigh;Wake;No;01-01-02;2007-11-06;Bicyclist Overtaking Motorist;12;Non-Intersection;01-11-01;0001-01-01T07:32:58-04:56;Bicyclist Overtaking - Parked Vehicle;311243;2007;O: No Injury;Commercial;;;Missing;;Injury;/Missing;;Sport Utility;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.794895, -78.70041
916;917;No;30-39;38;No;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;High Point;Guilford;No;01-01-05;2007-11-09;Motorist Failed to Yield - Signalized Intersection;8;Intersection;01-11-01;0001-01-01T03:25:58-04:56;Motorist Drive Out - Right Turn on Red;132151;2007;C: Possible Injury;Commercial;60-69;65;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.93804, -79.995056
918;919;No;;;Missing;With Traffic;Injury;Other;/Missing;;None - Rural Crash;Carteret;No;01-01-06;2007-11-10;Bicyclist Left Turn / Merge;21;Non-Intersection;01-11-01;0001-01-01T16:59:58-04:56;Bicyclist Left Turn - Same Direction;381221;2007;O: No Injury;Residential;0-19;18;No;51-55 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;50 - 55  MPH;No Control Present;Clear;No;34.818966, -76.87324
933;934;Yes;16-19;17;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Apex;Wake;No;01-01-02;2007-11-20;Bicyclist Left Turn / Merge;18;Intersection;01-11-01;0001-01-01T13:24:58-04:56;Bicyclist Left Turn - Opposite Direction;111222;2007;B: Evident Injury;Commercial;25-29;28;No;26-30 mph;O: No Injury;White;Female;Sport Utility;No;No;Dark - Lighted Roadway;Urban (>70% Developed);6 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Stop And Go Signal;Clear;No;35.738556, -78.86537
939;940;Yes;40-49;40;Yes;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Wayne;Yes;;2007-11-26;Motorist Overtaking Bicyclist;17;Non-Intersection;01-11-01;0001-01-01T12:45:58-04:56;Motorist Overtaking - Misjudged Space;311232;2007;C: Possible Injury;Residential;70+;;No;36-40 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Wet;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Coastal;Rural;40 - 45  MPH;No Control Present;Cloudy;No;35.33215, -78.07824
942;943;No;15-Nov;13;No;With Traffic;B: Evident Injury;Other;White;Male;High Point;Guilford;No;01-01-06;2007-12-01;Backing Vehicle;13;Non-Intersection;01-12-01;0001-01-01T08:27:58-04:56;Backing Vehicle;381600;2007;B: Evident Injury;Residential;0-19;17;No;6-10 mph;O: No Injury;Asian;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);1 lane;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;20 - 25  MPH;No Control Present;Clear;No;35.929546, -79.964134
961;962;No;;;Missing;Facing Traffic;Injury;Travel Lane;/Missing;;Raleigh;Wake;No;01-01-03;2007-12-05;Motorist Failed to Yield - Sign-Controlled Intersection;18;Intersection;01-12-01;0001-01-01T13:15:58-04:56;Motorist Drive Out - Sign-Controlled Intersection;112141;2007;O: No Injury;Commercial;30-39;38;No;11-15 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);6 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Stop Sign;Clear;No;35.779778, -78.61804
962;963;Yes;70+;;No;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Male;Roper;Washington;No;01-01-03;2007-12-05;Bicyclist Left Turn / Merge;17;Non-Intersection;01-12-01;0001-01-01T12:13:58-04:56;Bicyclist Left Turn - Same Direction;321221;2007;B: Evident Injury;Farms, Woods, Pastures;40-49;43;No;31-35 mph;O: No Injury;Black;Male;Pickup;No;No;Dawn;Rural (<30% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.882225, -76.61047
963;964;Yes;16-19;16;No;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Wilmington;New Hanover;No;01-01-03;2007-12-05;Motorist Right Turn / Merge;7;Intersection;01-12-01;0001-01-01T02:26:58-04:56;Motorist Right Turn - Same Direction;131213;2007;C: Possible Injury;Commercial;40-49;42;No;6-10 mph;O: No Injury;White;Female;Pickup;No;No;Daylight;Urban (>70% Developed);5 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;Stop And Go Signal;Cloudy;No;34.235474, -77.94591
966;967;Yes;16-19;19;No;;C: Possible Injury;;White;Male;Concord;Cabarrus;No;01-01-06;2007-06-02;Bicyclist Failed to Yield - Midblock;0;Non-Intersection;01-06-01;0000-12-31T19:50:58-04:56;Bicyclist Ride Out - Midblock -;399319;2007;C: Possible Injury;Commercial;25-29;27;No;41-45 mph;O: No Injury;Black;Male;Van;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;No Control Present;Clear;No;35.410606, -80.568214
973;974;No;10-Jun;8;No;;C: Possible Injury;Non-Roadway;White;Male;Raleigh;Wake;No;01-01-02;2007-12-11;Non-Roadway;9;Non-Roadway;01-12-01;0001-01-01T04:49:58-04:56;Non-Roadway;460910;2007;C: Possible Injury;Residential;20-24;22;No;0-5 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);;2;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;5 - 15 MPH;No Control Present;Clear;No;35.84403, -78.57353
974;975;Yes;15-Nov;12;No;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Rocky Mount;Nash;No;01-01-04;2007-12-13;Bicyclist Failed to Yield - Sign-Controlled Intersection;19;Intersection;01-12-01;0001-01-01T14:30:58-04:56;Bicyclist Ride Out - Sign-Controlled Intersection;132142;2007;C: Possible Injury;Residential;50-59;52;No;0-5 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Wet;One-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;Stop Sign;Rain;No;35.943115, -77.808495
993;994;No;;;No;With Traffic;Injury;Travel Lane;/Missing;;Eden;Rockingham;No;01-01-02;2007-08-14;Bicyclist Failed to Yield - Sign-Controlled Intersection;15;Intersection;01-08-01;0001-01-01T10:45:58-04:56;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2007;O: No Injury;Residential;60-69;65;No;31-35 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;36.498432, -79.76799
71;72;Yes;20-24;20;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Wilson;Wilson;No;01-01-02;2007-02-13;Motorist Left Turn / Merge;22;Intersection;01-02-01;0001-01-01T17:50:58-04:56;Motorist Left Turn - Opposite Direction;111212;2007;B: Evident Injury;Residential;30-39;36;No;11-15 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);5 lanes;2;Straight - Level;Local Street;Wet;Two-Way, Not Divided;Road Surface Condition;No Special Feature;Coarse Asphalt;Coastal;Urban;40 - 45  MPH;Stop And Go Signal;Rain;No;35.73195, -77.92268
74;75;No;30-39;38;No;With Traffic;O: No Injury;Travel Lane;White;Male;Jefferson;Ashe;No;01-01-05;2007-04-27;Bicyclist Failed to Yield - Signalized Intersection;7;Intersection;01-04-01;0001-01-01T02:40:58-04:56;Bicyclist Failed to Clear - Trapped;111156;2007;O: No Injury;Commercial;60-69;64;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;US Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Mountains;Rural;30 - 35  MPH;Stop And Go Signal;Clear;No;36.420494, -81.47394
78;79;Yes;40-49;48;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Cary;Wake;No;01-01-02;2007-05-01;Motorist Left Turn / Merge;14;Intersection;01-05-01;0001-01-01T09:50:58-04:56;Motorist Left Turn - Opposite Direction;111212;2007;B: Evident Injury;Residential;30-39;37;No;21-25 mph;O: No Injury;Black;Male;Single Unit Truck (2-Axle, 6-Tire);No;No;Daylight;Urban (>70% Developed);5 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;No Control Present;Clear;No;35.767788, -78.76549
87;88;Yes;30-39;34;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Asheville;Buncombe;No;01-01-05;2007-02-23;Bicyclist Left Turn / Merge;23;Non-Intersection;01-02-01;0001-01-01T18:30:58-04:56;Bicyclist Left Turn - Same Direction;311221;2007;B: Evident Injury;Commercial;20-24;24;No;31-35 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;2;Straight - Grade;US Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Mountains;Urban;30 - 35  MPH;No Control Present;Clear;No;35.57517, -82.613594
90;91;Yes;20-24;23;No;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Charlotte;Mecklenburg;No;01-01-02;2007-02-27;Motorist Failed to Yield - Midblock;13;Non-Intersection;01-02-01;0001-01-01T08:28:58-04:56;Motorist Drive Out - Commercial Driveway / Alley;332322;2007;C: Possible Injury;Commercial;0-19;19;No;0-5 mph;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Concrete;Piedmont;Urban;40 - 45  MPH;No Control Present;Clear;No;35.20265, -80.73419
97;98;Yes;60-69;61;No;With Traffic;A: Disabling Injury;Travel Lane;Black;Male;Charlotte;Mecklenburg;No;01-01-04;2007-03-01;Motorist Right Turn / Merge;16;Non-Intersection;01-03-01;0001-01-01T11:58:58-04:56;Motorist Right Turn - Same Direction;311213;2007;A: Disabling Injury;Residential;60-69;64;No;11-15 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Wet;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Cloudy;No;35.26145, -80.84692
103;104;Yes;30-39;37;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Charlotte;Mecklenburg;No;01-01-02;2007-03-06;Head-On;7;Intersection;01-03-01;0001-01-01T03:02:58-04:56;Head-On - Motorist;111255;2007;B: Evident Injury;Residential;25-29;27;No;11-15 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;Stop Sign;Clear;No;35.17768, -80.84549
106;107;Yes;10-Jun;6;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Charlotte;Mecklenburg;No;01-01-03;2007-03-07;Bicyclist Failed to Yield - Sign-Controlled Intersection;17;Intersection;01-03-01;0001-01-01T12:20:58-04:56;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2007;B: Evident Injury;Residential;30-39;32;No;11-15 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Curve - Grade;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.19942, -80.894005
110;111;Yes;0-5;5;No;Facing Traffic;C: Possible Injury;Travel Lane;Black;Male;None - Rural Crash;Robeson;No;01-01-06;2007-03-10;Bicyclist Right Turn / Merge;13;Non-Intersection;01-03-01;0001-01-01T08:03:58-04:56;Bicyclist Right Turn - Same Direction;312223;2007;C: Possible Injury;Residential;20-24;24;No;16-20 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Coastal;Rural;30 - 35  MPH;Double Yellow Line, No Passing Zone;Clear;No;34.8146, -78.960464
112;113;Yes;50-59;52;Yes;With Traffic;B: Evident Injury;Travel Lane;Black;Male;None - Rural Crash;Duplin;Yes;01-01-07;2007-03-11;Motorist Failed to Yield - Sign-Controlled Intersection;19;Intersection;01-03-01;0001-01-01T14:56:58-04:56;Motorist Drive Out - Sign-Controlled Intersection;111141;2007;B: Evident Injury;Farms, Woods, Pastures;40-49;46;No;11-15 mph;O: No Injury;White;Female;Van;No;No;Dark - Roadway Not Lighted;Rural (<30% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;T-Intersection;Coarse Asphalt;Coastal;Rural;50 - 55  MPH;Stop Sign;Clear;No;34.83176, -77.95218
114;115;Yes;20-24;23;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Goldsboro;Wayne;No;01-01-02;2007-03-13;Bicyclist Left Turn / Merge;18;Intersection;01-03-01;0001-01-01T13:08:58-04:56;Bicyclist Left Turn - Opposite Direction;111222;2007;B: Evident Injury;Residential;0-19;18;No;31-35 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;No Control Present;Clear;No;35.361355, -77.93335
124;125;Yes;10-Jun;8;No;With Traffic;C: Possible Injury;Travel Lane;Black;Male;Durham;Durham;No;01-01-02;2007-05-29;Loss of Control / Turning Error;18;Intersection-Related;01-05-01;0001-01-01T13:36:58-04:56;Bicyclist Turning Error - Other;211116;2007;C: Possible Injury;Residential;60-69;66;No;21-25 mph;O: No Injury;Black;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.991714, -78.91449
126;127;No;16-19;18;No;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;None - Rural Crash;Person;No;01-01-05;2007-03-16;Bicyclist Left Turn / Merge;8;Intersection;01-03-01;0001-01-01T03:48:58-04:56;Bicyclist Left Turn - Same Direction;121221;2007;C: Possible Injury;Farms, Woods, Pastures;70+;;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);3 lanes;2;Straight - Level;US Route;Wet;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Rural;50 - 55  MPH;Stop And Go Signal;Cloudy;No;36.32585, -78.97471
139;140;Yes;10-Jun;10;No;;B: Evident Injury;Travel Lane;White;Male;Matthews;Mecklenburg;No;01-01-02;2007-03-20;Bicyclist Failed to Yield - Sign-Controlled Intersection;16;Intersection;01-03-01;0001-01-01T11:37:58-04:56;Bicyclist Ride Through - Sign-Controlled Intersection;119144;2007;B: Evident Injury;Residential;0-19;18;No;21-25 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Bottom;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Coarse Asphalt;Piedmont;Urban;20 - 25  MPH;Stop Sign;Clear;No;35.09666, -80.71109
149;150;Yes;50-59;54;No;Not Applicable;C: Possible Injury;Non-Roadway;Black;Male;Wadesboro;Anson;No;01-01-04;2007-02-22;Bicyclist Failed to Yield - Midblock;17;Non-Intersection;01-02-01;0001-01-01T12:39:58-04:56;Bicyclist Ride Out - Midblock -;363319;2007;C: Possible Injury;Residential;60-69;65;No;6-10 mph;O: No Injury;Black;Male;Pickup;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;34.97654, -80.085846
169;170;Yes;10-Jun;6;No;;B: Evident Injury;Travel Lane;Hispanic;Male;None - Rural Crash;Caldwell;No;01-01-06;2007-03-31;Crossing Paths - Other Circumstances;17;Intersection;01-03-01;0001-01-01T13:00:58-04:56;Crossing Paths - Intersection - Other /;119180;2007;B: Evident Injury;Residential;60-69;66;No;21-25 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Mountains;Rural;20 - 25  MPH;No Control Present;Clear;No;35.85083, -81.60362
172;173;Yes;30-39;38;No;;A: Disabling Injury;Non-Roadway;Black;Male;Charlotte;Mecklenburg;No;01-01-06;2007-03-31;Non-Roadway;19;Non-Roadway;01-03-01;0001-01-01T14:18:58-04:56;Non-Roadway;460910;2007;A: Disabling Injury;Residential;;;Missing;6-10 mph;Injury;/Missing;;Passenger Car;No;Yes;Daylight;Urban (>70% Developed);;2;Straight - Level;Public Vehicular Area;Dry;;None;Driveway, Public;Smooth Asphalt;Piedmont;Urban;5 - 15 MPH;No Control Present;Clear;No;35.245174, -80.75186
183;184;Yes;16-19;16;No;Not Applicable;C: Possible Injury;;Black;Male;Ellerbe;Richmond;No;01-01-03;2007-04-04;Bicyclist Failed to Yield - Midblock;15;Non-Intersection;01-04-01;0001-01-01T10:42:58-04:56;Bicyclist Ride Out - Midblock -;393319;2007;C: Possible Injury;Commercial;50-59;59;No;21-25 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;US Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Rural;20 - 25  MPH;No Control Present;Clear;No;35.06984, -79.76114
184;185;Yes;15-Nov;11;No;With Traffic;A: Disabling Injury;Travel Lane;Black;Male;East Spencer;Rowan;No;01-01-03;2007-04-04;Bicyclist Failed to Yield - Sign-Controlled Intersection;10;Intersection;01-04-01;0001-01-01T05:38:58-04:56;Bicyclist Ride Out - Sign-Controlled Intersection;111142;2007;A: Disabling Injury;Residential;20-24;24;No;26-30 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Hillcrest;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Rural;30 - 35  MPH;Stop Sign;Clear;No;35.68668, -80.42781
198;199;No;40-49;43;No;With Traffic;Injury;Travel Lane;White;Male;Reidsville;Rockingham;No;01-01-06;2007-03-10;Motorist Failed to Yield - Signalized Intersection;12;Intersection;01-03-01;0001-01-01T07:48:58-04:56;Motorist Drive Through - Signalized Intersection;111154;2007;Injury;Commercial;30-39;38;No;16-20 mph;Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Stop And Go Signal;Clear;No;36.32494, -79.68673
201;202;Yes;10-Jun;8;No;With Traffic;B: Evident Injury;Travel Lane;Hispanic;Male;Raleigh;Wake;No;01-01-02;2007-04-10;Bicyclist Left Turn / Merge;17;Intersection-Related;01-04-01;0001-01-01T12:47:58-04:56;Bicyclist Left Turn - Opposite Direction;211222;2007;B: Evident Injury;Residential;40-49;41;No;26-30 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.846447, -78.571465
202;203;Yes;16-19;16;No;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Charlotte;Mecklenburg;No;01-01-02;2007-07-03;Motorist Failed to Yield - Sign-Controlled Intersection;13;Intersection;01-07-01;0001-01-01T08:28:58-04:56;Motorist Drive Out - Sign-Controlled Intersection;132141;2007;B: Evident Injury;Residential;25-29;29;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.22908, -80.74451
