name,country_parent,total,dems,repubs,year
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$14,250","$7,750","$6,500",2006
United Water (SUEZ SA),France/SUEZ SA,"$17,800","$16,800","$1,000",2006
Universal Music Group (Vivendi Universal),France/Vivendi Universal,"$147,226","$63,250","$82,476",2006
USFilter Corp (Siemens AG),Germany/Siemens AG,$0,$0,$0,2006
VT Halter Marine,Singapore/ST Engineering,"$3,500",$500,"$3,000",2006
Wackenhut Corp,Denmark/Group 4 Securicor,"$19,600",$0,"$19,600",2006
Westfield Corp,Australia/Westfield Group of Australia,"$26,088","$21,088","$5,000",2006
Westinghouse Electric,Japan/Toshiba Corp,"$21,500","$4,000","$17,500",2006
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,"$104,500","$37,000","$66,500",2006
Willis North America,UK/Willis Group Holdings,"$7,000","$3,000","$4,000",2006
XL America,UK/XL Capital,"$10,500",$500,"$8,000",2006
ZLB Behring,Australia/CSL Ltd,"$3,500",$0,"$3,500",2006
Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$211,000","$58,500","$149,500",2006
7-Eleven,Japan/Seven & I Holdings,"$9,500","$2,000","$7,500",2008
ABB Group,Switzerland/Asea Brown Boveri,"$18,000","$8,000","$10,000",2008
Accenture (Accenture),UK/Accenture plc,"$347,750","$189,750","$158,000",2008
Accenture (Accenture),UK/Accenture plc,$0,$0,$0,2008
ACE INA,Switzerland/ACE Ltd,"$171,500","$82,500","$89,000",2008
Acuson Corp (Siemens AG),Germany/Siemens AG,$0,$0,$0,2008
AEGON USA,Netherlands/Aegon NV,"$210,497","$107,997","$102,500",2008
Agrium US,Canada/Agrium Inc,"$1,500",$0,"$1,500",2008
Air Liquide America,France/L'Air Liquide SA,"$11,000","$8,000","$3,000",2008
Alcatel-Lucent Holding (Alcatel-Lucent),France/Alcatel-Lucent,"$58,500","$28,000","$30,500",2008
Alcatel-Lucent Holding (Alcatel-Lucent),France/Alcatel-Lucent,"$8,500","$4,000","$4,500",2008
Alcon Laboratories (Nestle SA),Switzerland/Nestle,"$28,496","$1,000","$27,496",2008
Allianz of America (Allianz),Germany/Allianz AG Holding,"$80,050","$28,600","$51,450",2008
American Medical Response (Onex Corp),Canada/Onex Corp,"$21,050","$18,250","$2,800",2008
Anheuser-Busch,Belgium/Anheuser-Busch InBev,"$1,505,897","$853,223","$652,674",2008
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$42,500","$28,500","$14,000",2008
Arcadis US,Netherlands/Arcadis NV,"$72,250","$42,250","$30,000",2008
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$54,500","$29,000","$25,500",2008
Arch Capital Group (US),UK/Arch Capital Group,"$13,200","$10,900","$2,300",2008
AREVA Inc,France/Areva Group,"$95,000","$45,500","$49,500",2008
Arkema Inc,France/Arkema,"$26,500","$10,500","$16,000",2008
Armor Holdings (BAE Systems),UK/BAE Systems,"$25,426","$6,600","$18,826",2008
Astellas US,Japan/Astellas Pharma,$0,$0,$0,2008
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$544,500","$260,500","$284,000",2008
"Austin, Nichols & Co",France/Pernod Ricard SA,"$14,500","$10,000","$4,500",2008
Aviva USA,UK/Aviva PLC,$500,$0,$500,2008
AXA Equitable Life Insurance (AXA),France/AXA,"$216,000","$137,000","$79,000",2008
AXIS Specialty US Services (AXIS Capital),UK/AXIS Captial,$0,$0,$0,2008
Babcock & Wilcox (McDermott International),Panama/McDermott International,"$1,000","$1,000",$0,2008
Babcock & Wilcox (McDermott International),Panama/McDermott International,"$244,000","$129,000","$115,000",2008
Bacardi USA,UK/Bacardi Ltd,"$18,000","$7,500","$10,500",2008
BAE Systems (BAE Systems),UK/BAE Systems,"$712,250","$313,500","$398,750",2008
Ballard Power Systems,Canada/Ballard Power Systems,"$1,700","$1,700",$0,2008
BancWest Corp (BNP Paribas),France/BNP Paribas,"$3,300","$3,300",$0,2008
Barclays Group US,UK/Barclays plc,"$100,000","$53,000","$47,000",2008
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$63,800","$29,500","$34,300",2008
BASF Corp,Germany/BASF SE,"$307,000","$109,000","$198,000",2008
Bayer Corp,Germany/Bayer AG,"$271,500","$118,000","$153,500",2008
BBVA Compass,Spain/Banco Bilbao Vizcaya Argentaria,"$125,500","$9,500","$116,000",2008
BMO Harris Bank,Canada/Bank of Montreal,$0,$0,$0,2008
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$87,800","$33,000","$54,800",2008
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$4,500","$3,000","$1,500",2008
BP North America,UK/BP PLC,"$198,500","$81,500","$117,000",2008
Bridgestone Americas,Japan/Bridgestone Corp,"$113,000","$56,000","$57,000",2008
Burson-Marsteller (WPP Group),UK/WPP Group,"$58,500","$35,500","$21,500",2008
Buzzi Unicem USA,Italy/Buzzi Unicem SpA,"$23,250","$4,250","$19,000",2008
CalPortland Co,Japan/Taiheiyo Cement Co,"$204,500","$53,000","$151,500",2008
CaridianBCT,Sweden/Gambro AB,"$1,000","$1,000",$0,2008
Case New Holland,Italy/Fiat SPA,"$60,000","$15,000","$45,000",2008
CEMEX Inc,Mexico/CEMEX SAB de CV,"$178,100","$68,600","$109,500",2008
CGI Technologies & Solutions,Canada/CGI Group,"$21,000","$14,000","$7,000",2008
Ciba Inc,Switzerland/Ciba Specialty Chemicals Holding,"$14,900","$5,000","$9,900",2008
Citizens Financial Group,UK/Royal Bank of Scotland Group,"$155,900","$129,650","$26,250",2008
Cobham Management Services,UK/Cobham PLC,$0,$0,$0,2008
Commerce Bancorp,Canada/Toronto-Dominion Bank,"$35,000","$25,000","$10,000",2008
Cooper Industries,Ireland/Cooper Industries Ltd,"$156,700","$77,000","$79,700",2008
Covidien US,UK/Covidien Ltd,"$111,500","$45,000","$66,500",2008
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$517,000","$274,500","$242,500",2008
CSL Behring,Australia/CSL Ltd,"$16,750","$5,500","$11,250",2008
Daiichi Sankyo Inc,Japan/Daiichi Sanyko,"$33,900","$14,600","$19,300",2008
Deutsche Bank Securities,Germany/Deutsche Bank AG,"$7,400","$7,400",$0,2008
DHL (Deutsche Post AG),Germany/Deutsche Post AG,"$15,000","$7,000","$8,000",2008
Diageo North America (Diageo PLC),UK/Diageo PLC,"$103,500","$69,500","$34,000",2008
DRS Technologies,Italy/Finmeccanica SpA,"$304,900","$123,500","$181,400",2008
E ON US,Germany/Eon AG,"$21,000","$6,000","$15,000",2008
EADS North America,Netherlands/European Aeronautic Defence & Space Co,"$149,700","$66,600","$83,100",2008
Eisai Inc,Japan/Eisai Co Ltd,"$8,500","$2,500","$6,000",2008
Elbit Systems of America,Israel/Elbit Systems Ltd,"$7,500","$4,000","$3,500",2008
EmCare Inc (Onex Corp),Canada/Onex Corp,$0,$0,$0,2008
EMD Serono Inc,Germany/Merck KGaA,"$62,500","$35,000","$27,500",2008
EnCana Oil & Gas USA,Canada/EnCana Corp,$0,$0,$0,2008
Essroc Corp,Italy/Italcementi Group,"$9,500","$4,500","$5,000",2008
Experian,UK/Experian,"$384,781","$139,000","$245,781",2008
Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$161,400","$45,000","$116,400",2008
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$1,000","$1,000",$0,2008
Food Lion,Belgium/Delhaize Group,"$54,250","$24,000","$30,250",2008
Foster Wheeler,Switzerland/Foster Wheeler PLC,"$2,500",$0,"$2,500",2008
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$92,400","$68,700","$23,700",2008
Gateway Inc,Taiwan/Acer Inc,$0,$0,$0,2008
GDF Suez Energy North America,France/GDF SUEZ,"$75,000","$36,500","$38,500",2008
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$262,500","$186,000","$76,500",2008
GKN Corp,UK/GKN PLC,"$3,000",$500,"$2,500",2008
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$250,$0,$250,2008
GlaxoSmithKline,UK/GlaxoSmithKline,"$811,420","$328,870","$482,550",2008
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$29,050","$18,700","$10,350",2008
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$21,500","$13,500","$8,000",2008
Greyhound Lines,UK/FirstGroup PLC,"$26,000","$16,500","$9,500",2008
Hanson Building Products North America,Germany/Spohn Cement Gmbh,"$5,787","$3,787","$2,000",2008
Heineken USA,Netherlands/L'Arche Green NV,"$56,500","$40,500","$16,000",2008
Henkel Corp (Henkel KGaA),Germany/Henkel KGaA,"$14,000","$11,000","$3,000",2008
Herbalife International,UK/Herbalife Ltd,"$45,413","$27,414","$17,999",2008
Hill & Knowlton (WPP Group),UK/WPP Group,"$5,000","$3,000","$2,000",2008
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$309,500","$168,500","$141,000",2008
Holcim US,Switzerland/Holcim Ltd,"$121,500","$87,000","$34,500",2008
Horizon Wind Energy,Portugal/EDP Renovaveis,$0,$0,$0,2008
HSBC North America,UK/HSBC Holdings,"$524,250","$257,000","$267,250",2008
Iberdrola Renewables (Iberdrola SA),Spain/Iberdrola SA,"$22,000","$18,000","$4,000",2008
Iberdrola USA (Iberdrola SA),Spain/Iberdrola SA,"$30,500","$20,500","$10,000",2008
Indra Systems,Spain/Indra Systems SA,$0,$0,$0,2008
Infineon Technologies,Germany/Infineon Technologies AG,"$3,000","$3,000",$0,2008
ING US (ING Group),Netherlands/ING Group,"$108,000","$71,500","$36,500",2008
Intelsat Holdings (Serafina SA),Luxembourg/Serafina SA,"$30,500","$18,500","$12,000",2008
International Power America,UK/International Power,$0,$0,$0,2008
International Securities Exchange,Germany/Deutsche Boerse,"$35,600","$19,100","$16,500",2008
Jackson National Life Insurance,UK/Prudential PLC,"$71,000","$19,750","$51,250",2008
JBS USA,Brazil/JBS SA,"$78,500","$25,000","$53,500",2008
John Hancock Financial Services,Canada/Manulife Financial,"$103,000","$68,000","$35,000",2008
LaFarge North America,France/Lafarge SA,"$61,500","$25,000","$36,500",2008
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$4,000",$0,"$4,000",2008
Lehigh Cement,Germany/HeidelbergCement AG,"$57,567","$32,000","$25,567",2008
Lone Star Industries,Italy/Buzzi Unicem,$0,$0,$0,2008
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$104,750","$45,500","$59,250",2008
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$171,500","$84,500","$87,000",2008
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$39,000","$23,000","$16,000",2008
McDermott International (McDermott International),Panama/McDermott International,"$25,000","$4,500","$20,500",2008
Medimmune Inc (AstraZeneca PLC),UK/AstraZeneca PLC,"$92,600","$59,100","$33,500",2008
Metallurg Vanadium Corp,Netherlands/AMG Advanced Metallurgical Group,$250,$250,$0,2008
Metro-Goldwyn-Mayer (Sony Corp),Japan/Sony Corp,$0,$0,$0,2008
Millennium Pharmaceuticals,Japan/Takeda Pharmaceutical Co,"$10,000","$7,500","$2,500",2008
Miller Brewing (SABMiller),UK/SABMiller PLC,"$194,000","$99,500","$94,500",2008
MillerCoors LLC (SABMiller),UK/SABMiller PLC,$0,$0,$0,2008
National Grid USA (National Grid plc),UK/National Grid plc,"$51,800","$36,300","$15,500",2008
National Grid USA (National Grid plc),UK/National Grid plc,"$67,600","$52,150","$15,450",2008
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$22,750","$5,250","$17,500",2008
Nestle USA (Nestle SA),Switzerland/Nestle,"$15,900","$8,900","$7,000",2008
Nestle Waters North America (Nestle SA),Switzerland/Nestle,"$15,500","$4,000","$11,500",2008
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$359,050","$139,050","$220,000",2008
Novartis Vaccines & Diagnostics (Novartis AG),Switzerland/Novartis AG,$0,$0,$0,2008
Novo Nordisk,Denmark/Novo Nordisk A/S,"$96,044","$56,544","$39,500",2008
Oldcastle Materials,Ireland/CRH PLC,"$403,100","$205,100","$198,000",2008
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,"$8,500","$3,000","$5,500",2008
Pharmavite LLC,Japan/Otsuka Pharmaceutical,"$42,168","$23,668","$18,500",2008
Philips Electronics North America (Philips Electronics),Netherlands/Philips Electronics,"$114,046","$39,296","$74,750",2008
Philips Medical Systems (Philips Electronics),Netherlands/Philips Electronics,"-$2,000","-$1,000","-$1,000",2008
PotashCorp,Canada/Potash Corporation of Saskatchewan,"$25,000","$5,000","$20,000",2008
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$17,000","$11,000","$6,000",2008
QBE Regional Insurance,Australia/QBE Insurance Group,$0,$0,$0,2008
Qimonda North America,Germany/Qimonda AG,"$7,500","$5,500","$2,000",2008
QinetiQ North America (Qinetiq Group),UK/QinetiQ Group,"$33,800","$19,200","$14,600",2008
RBC Centura Banks (Royal Bank of Canada),Canada/Royal Bank of Canada,$0,$0,$0,2008
Reebok International,Germany/adidas AG,$500,$500,$0,2008
Reed Elsevier Inc,UK/Reed Elsevier Group,"$121,300","$74,800","$46,500",2008
Renewable Energy Systems Americas,UK/Renewable Energy Systems,"$3,000","$3,000",$0,2008
Research In Motion,Canada/Research in Motion,"$19,500","$11,000","$8,500",2008
Rio Tinto America,UK/Rio Tinto Group,"$43,000","$19,000","$24,000",2008
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$186,500","$72,500","$114,000",2008
Sanofi-Aventis US (Sanofi-Aventis),France/Sanofi-Aventis,"$105,500","$59,500","$46,000",2008
Sanofi-Pasteur Inc (Sanofi-Aventis),France/Sanofi-Aventis,"$52,000","$28,000","$24,000",2008
Santander Bank (Banco Santander),Spain/Banco Santander,"$10,525","$6,525","$4,000",2008
SAP America,Germany/SAP AG,"$150,500","$80,500","$70,000",2008
Schaeffler Group USA,Germany/Schaeffler Group,"$5,800","$3,500","$2,300",2008
Securitas Security Services USA,Sweden/Securitas AB,"$15,500","$6,000","$9,500",2008
SES Americom (SES SA),Luxembourg/SES SA,"$16,500","$9,500","$7,000",2008
Shell Oil,Netherlands/Royal Dutch Shell,"$75,000","$25,000","$50,000",2008
Shire Pharmaceuticals,UK/Shire Plc,"$1,250",$250,"$1,000",2008
SI International,UK/Serco Group,"$171,750","$81,500","$90,250",2008
Siemens Corp (Siemens AG),Germany/Siemens AG,"$303,000","$177,500","$125,500",2008
Skilled Healthcare Group (Onex Corp),Canada/Onex Corp,"$2,300","$2,300",$0,2008
Smith & Nephew,UK/Smith & Nephew Plc,"$28,300","$13,000","$15,300",2008
Smiths Detection,UK/Smiths Group PLC,"$5,500","$4,000","$1,500",2008
Sodexo Inc,France/Sodexo,"$34,500","$30,000","$4,500",2008
Solvay Pharmaceuticals,Belgium/Solvay SA,"$177,500","$52,000","$125,500",2008
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$205,500","$151,500","$54,000",2008
Space Systems/Loral,UK/Loral Space & Communications,$0,$0,$0,2008
Sparta Inc (Cobham Holdings),UK/Cobham plc,"$57,100","$15,000","$42,100",2008
Spirit Aerosystems (Onex Corp),Canada/Onex Corp,"$19,150","$3,500","$15,650",2008
SSAB Enterprises,Sweden/SSAB AB,"$45,250","$22,500","$22,750",2008
Sun Life Assurance of Canada (Sun Life Financial),Canada/Sun Life Financial,"$12,000","$10,000","$2,000",2008
Swedish Match North America,Sweden/Swedish Match AB,"$58,075","$23,227","$34,848",2008
Syngenta Corp,Switzerland/Syngenta AG,"$200,100","$92,500","$107,600",2008
T-Mobile USA,Germany/Deutsche Telekom AG,"$392,000","$215,500","$176,500",2008
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$40,500","$18,000","$22,500",2008
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$27,350","$15,100","$12,250",2008
Timex Group USA,Netherlands/Timex Group,$0,$0,$0,2008
Tyco International (Tyco International),Ireland/Tyco International,"$190,000","$109,500","$80,500",2008
UBS Americas,Switzerland/UBS AG,"$842,500","$436,500","$406,000",2008
Ultra Electronics Prologic,UK/Ultra Electronics,"$45,000","$44,000","$1,000",2008
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$2,600","$2,600",$0,2008
United Water,France/SUEZ Environnement,"$13,150","$13,100",$50,2008
Universal Music Group (Vivendi Universal),France/Vivendi Universal,"$167,440","$98,040","$69,400",2008
VT Halter Marine,Singapore/ST Engineering,"$7,000","$1,000","$6,000",2008
Wackenhut Corp,Denmark/Group 4 Securicor,"$14,750","$5,000","$9,750",2008
Weatherford US,UK/Weatherford International,"$1,000","$1,000",$0,2008
Westfield Corp,Australia/Westfield Group of Australia,"$22,158","$19,658","$2,500",2008
Westinghouse Electric,Japan/Toshiba Corp,"$27,100","$10,000","$17,100",2008
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,"$101,579","$59,579","$42,000",2008
Willis North America,UK/Willis Group Holdings,"$18,000","$15,000","$3,000",2008
XL America,UK/XL Capital,"$10,900","$8,600","$2,300",2008
Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$200,211","$93,211","$107,000",2008
7-Eleven,Japan/Seven & I Holdings,$0,$0,$0,2010
ABB Group,Switzerland/Asea Brown Boveri,"$17,000","$7,500","$9,000",2010
Accenture (Accenture),Ireland/Accenture plc,"$337,400","$193,000","$143,400",2010
Accenture (Accenture),Ireland/Accenture plc,$0,$0,$0,2010
ACE INA,Switzerland/ACE Ltd,"$240,500","$129,500","$111,000",2010
AEGON USA,Netherlands/Aegon NV,"$186,000","$106,500","$79,500",2010
Agrium US,Canada/Agrium Inc,"$2,400",$0,$0,2010
Air Liquide America,France/L'Air Liquide SA,"$24,950","$18,200","$4,250",2010
Alcatel-Lucent Holding (Alcatel-Lucent),France/Alcatel-Lucent,$0,$0,$0,2010
Alcatel-Lucent USA (Alcatel-Lucent),France/Alcatel-Lucent,"$21,000","$15,500","$5,500",2010
Alcon Laboratories (Novartis AG),Switzerland/Novartis,"$29,455","$8,455","$21,000",2010
Allianz of America (Allianz),Germany/Allianz AG Holding,"$84,850","$37,850","$47,000",2010
American Medical Response (Onex Corp),Canada/Onex Corp,"$44,200","$38,200","$6,000",2010
Anheuser-Busch,Belgium/Anheuser-Busch InBev,"$854,500","$454,000","$399,500",2010
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$62,500","$35,000","$25,000",2010
Arcadis US,Netherlands/Arcadis NV,"$237,750","$136,250","$97,500",2010
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$60,500","$42,500","$18,000",2010
Arch Capital Group (US),UK/Arch Capital Group,"$12,800","$9,300","$3,500",2010
AREVA Inc,France/Areva Group,"$99,900","$62,400","$34,500",2010
Arkema Inc,France/Arkema,"$14,500","$8,500","$6,000",2010
Astellas US,Japan/Astellas Pharma,"$93,500","$56,000","$37,500",2010
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$703,500","$368,000","$328,500",2010
Atlantic Marine (BAE Systems),UK/BAE Systems,"$20,500","$10,000","$10,500",2010
Aviva USA,UK/Aviva PLC,$0,$0,$0,2010
AXA Equitable Life Insurance (AXA),France/AXA,"$285,500","$171,500","$114,000",2010
AXIS Specialty US Services (AXIS Capital),UK/AXIS Captial,"$3,000","$3,000",$0,2010
Bacardi USA,UK/Bacardi Ltd,"$20,025","$11,025","$8,000",2010
BAE Systems (BAE Systems),UK/BAE Systems,"$745,000","$418,500","$326,000",2010
Ballard Power Systems,Canada/Ballard Power Systems,$0,$0,$0,2010
BancWest Corp (BNP Paribas),France/BNP Paribas,$0,$0,$0,2010
Barclays Group US (Barclays),UK/Barclays plc,"$104,000","$46,500","$57,500",2010
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$152,500","$33,000","$104,500",2010
BASF Corp (BASF SE),Germany/BASF SE,"$350,500","$102,000","$246,500",2010
Bayer Corp,Germany/Bayer AG,"$419,000","$184,000","$231,000",2010
BBVA Compass,Spain/Banco Bilbao Vizcaya Argentaria,"$164,000","$42,000","$122,000",2010
BMO Harris Bank,Canada/Bank of Montreal,"$2,050","$2,050",$0,2010
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$236,000","$132,500","$101,500",2010
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$20,000","$19,000","$1,000",2010
BP North America,UK/BP PLC,"$71,500","$31,500","$35,000",2010
Bridgestone Americas,Japan/Bridgestone Corp,"$104,000","$65,500","$38,500",2010
Bumble Bee Foods,UK/Lion Capital,"$17,250","$12,750","$4,500",2010
Burson-Marsteller (WPP Group),UK/WPP Group,"$82,250","$50,750","$31,500",2010
Buzzi Unicem USA,Italy/Buzzi Unicem SpA,"$7,050","$1,000","$6,050",2010
CalPortland Co,Japan/Taiheiyo Cement Co,"$130,500","$22,000","$106,000",2010
CaridianBCT (EQT Corp),Sweden/Gambro AB,$0,$0,$0,2010
Carmeuse Lime,Netherlands/LVI Holding,"$9,500","$8,000","$1,500",2010
Case New Holland,Italy/Fiat SPA,"$82,000","$5,000","$77,000",2010
CEMEX Inc,Mexico/CEMEX SAB de CV,"$260,800","$33,400","$225,000",2010
CGI Technologies & Solutions,Canada/CGI Group,"$62,854","$34,000","$28,854",2010
Ciba Inc (BASF SE),Germany/BASF SE,"$15,725","$7,725","$8,000",2010
Citizens Financial Group,UK/Royal Bank of Scotland Group,"$111,150","$89,150","$22,000",2010
Cobham Holdings (Cobham Holdings),UK/Cobham plc,"$15,000","$4,000","$11,000",2010
Cobham Management Services (Cobham PLC),UK/Cobham PLC,"$137,125","$70,400","$64,225",2010
Commonwealth Brands,UK/Imperial Tobacco Group,"$68,300","$27,300","$41,000",2010
Converteam Inc (Barclays),UK/Barclays,"$1,800","$1,800",$0,2010
Cooper Industries,Ireland/Cooper Industries Ltd,"$63,000","$26,000","$37,000",2010
Covidien US,UK/Covidien Ltd,"$182,500","$104,000","$78,500",2010
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$487,000","$246,500","$240,500",2010
CSL Behring,Australia/CSL Ltd,"$34,250","$17,250","$17,000",2010
Daiichi Sankyo Inc,Japan/Daiichi Sanyko,"$191,500","$65,500","$124,000",2010
Deutsche Bank Securities,Germany/Deutsche Bank AG,"$85,400","$48,400","$37,000",2010
DHL (Deutsche Post AG),Germany/Deutsche Post AG,"$3,000","$3,000",$0,2010
Diageo North America (Diageo PLC),UK/Diageo PLC,"$131,752","$87,919","$43,833",2010
Diageo North America/CT (Diageo PLC),UK/Diageo PLC,$0,$0,$0,2010
DRS Technologies,Italy/Finmeccanica SpA,"$416,300","$186,000","$229,300",2010
EADS North America,Netherlands/European Aeronautic Defence & Space Co,"$207,200","$104,500","$102,700",2010
Eisai Inc,Japan/Eisai Co Ltd,"$68,000","$48,500","$19,500",2010
Elbit Systems of America,Israel/Elbit Systems Ltd,"$22,500","$11,500","$11,000",2010
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$7,000","$2,500","$3,500",2010
EmCare Inc (Onex Corp),Canada/Onex Corp,$0,$0,$0,2010
EMD Serono Inc,Germany/Merck KGaA,"$123,000","$83,000","$40,000",2010
EnCana Oil & Gas USA,Canada/EnCana Corp,$0,$0,$0,2010
Essroc Corp,Italy/Italcementi Group,"$8,500","$2,500","$6,000",2010
Experian,UK/Experian,"$477,727","$145,000","$332,727",2010
Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$176,944","$34,650","$141,794",2010
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$11,300","$9,800","$1,500",2010
FirstGroup America (FirstGroup PLC),UK/FirstGroup PLC,$0,$0,$0,2010
Food Lion,Belgium/Delhaize Group,"$14,000","$4,500","$9,500",2010
Foster Wheeler,Switzerland/Foster Wheeler PLC,$0,$0,$0,2010
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$125,102","$97,500","$27,602",2010
G4S Secure Solutions,UK/G4S plc,"$61,500","$24,000","$32,500",2010
GDF Suez Energy North America,France/GDF SUEZ,"$72,750","$41,000","$26,750",2010
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$290,500","$128,500","$160,000",2010
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0,$0,$0,2010
GKN Corp,UK/GKN PLC,"$1,000","$1,000",$0,2010
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,"$2,900",$500,"$2,400",2010
GlaxoSmithKline,UK/GlaxoSmithKline,"$619,500","$316,000","$297,500",2010
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$44,250","$26,000","$18,250",2010
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$12,000","$6,000","$6,000",2010
Greyhound Lines (FirstGroup PLC),UK/FirstGroup PLC,"$16,000","$10,500","$5,500",2010
Gtech Corp,Italy/B&D Holding Di Marco Drago e C Sapa,"$3,500","$3,500",$0,2010
Halcrow Inc,UK/Halcrow Holdings,"$1,000","$1,000",$0,2010
Heineken USA,Netherlands/L'Arche Green NV,"$53,500","$34,000","$19,500",2010
Henkel Corp (Henkel KGaA),Germany/Henkel KGaA,"$11,000","$7,000","$4,000",2010
Herbalife International,UK/Herbalife Ltd,"$63,080","$35,000","$28,080",2010
Hill & Knowlton (WPP Group),UK/WPP Group,"$1,250","$1,000",$250,2010
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$172,000","$98,500","$71,000",2010
Holcim US,Switzerland/Holcim Ltd,"$33,500","$25,000","$8,500",2010
Horizon Wind Energy,Portugal/EDP Renovaveis,"$2,250","$1,250","$1,000",2010
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$339,000","$156,500","$182,500",2010
HSBC North America/Florida (HSBC Holdings),UK/HSBC Holdings,$0,$0,$0,2010
Iberdrola Renewables (Iberdrola SA),Spain/Iberdrola SA,"$30,000","$26,500","$2,500",2010
Iberdrola USA (Iberdrola SA),Spain/Iberdrola SA,"$11,250","$11,250",$0,2010
Infineon Technologies,Germany/Infineon Technologies AG,"$1,000","$1,000",$0,2010
ING US (ING Group),Netherlands/ING Group,"$110,500","$68,000","$42,500",2010
Intelsat Holdings (Serafina SA),Luxembourg/Serafina SA,"$66,900","$48,900","$18,000",2010
Intergraph Corp,Sweden/Hexagon AB,"$19,000","$7,000","$12,000",2010
International Power America,UK/International Power,"$19,000","$11,500","$4,000",2010
International Securities Exchange,Germany/Deutsche Boerse,"$49,500","$31,500","$18,000",2010
Jackson National Life Insurance,UK/Prudential PLC,"$122,774","$40,000","$82,774",2010
JBS USA,Brazil/JBS SA,"$162,050","$58,000","$104,050",2010
John Hancock Life Insurance,Canada/Manulife Financial,"$143,900","$96,500","$47,400",2010
Kurtzman Carson Consultants,Australia/Computershare Limited,$0,$0,$0,2010
LaFarge North America,France/Lafarge SA,"$91,000","$37,500","$53,500",2010
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$5,580","$1,000","$4,580",2010
Linde North America,Germany/Linde AG,"$10,000","$8,000","$2,000",2010
Louis Dreyfus Group (Louis Dreyfus SAS),Netherlands/Louis Dreyfus SAS,"$37,500","$12,000","$25,500",2010
Lundbeck Inc,Denmark/H Lundbeck A/S,$0,$0,$0,2010
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$65,750","$27,000","$34,250",2010
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$136,750","$81,000","$54,750",2010
Magna Holdings of America,Canada/Magna International,"$2,250","$2,250",$0,2010
