name,sale,lot,position,dealer,year,origin_author,origin_cat,school_pntg,diff_origin,logprice,price,count,subject,authorstandard,artistliving,authorstyle,author,winningbidder,winningbiddertype,endbuyer,Interm,type_intermed,Height_in,Width_in,Surface_Rect,Diam_in,Surface_Rnd,Shape,Surface,material,mat,materialCat,quantity,nfigures,engraved,original,prevcoll,othartist,paired,figures,finished,lrgfont,relig,landsALL,lands_sc,lands_elem,lands_figs,lands_ment,arch,mytho,peasant,othgenre,singlefig,portrait,still_life,discauth,history,allegory,pastorale,other
L1768-86,L1768,86,0.421568627,L,1768,D/FL,O,D/FL,1,3.401197382,30.0,1,Vases et figures antiques,"Cabel, Adriaan van der",0,n/a,Wandercabel,Unknown,,,,,43,60,2580,,,squ_rect,2580,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-87,L1768,87,0.426470588,L,1768,F,O,F,1,3.912023005,50.0,1,NS jardin d'olives,"Bourdon, Sébastien",0,n/a,Sebastien Bourdon,Unknown,,,,,17,22,374,,,squ_rect,374,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-88,L1768,88,0.431372549,L,1768,F,O,F,1,3.401197382,30.0,1,St Jean desert,"Bourdon, Sébastien",0,n/a,Sebastien Bourdon,Unknown,,,,,17,22,374,,,squ_rect,374,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-89a,L1768,89,0.43627451,L,1768,F,O,F,1,4.094344562,60.0,1,NS apparait a la Vierge,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,68,51,3468,,,squ_rect,3468,tableau,ta,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-89b,L1768,89,0.43627451,L,1768,F,O,F,1,4.094344562,60.0,1,NS apparait a la Magdelaine,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,68,51,3468,,,squ_rect,3468,tableau,ta,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-90a,L1768,90,0.441176471,L,1768,F,O,F,1,4.094344562,60.0,1,Ressurection NS,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,58,74,4292,,,squ_rect,4292,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-90b,L1768,90,0.441176471,L,1768,F,O,F,1,4.094344562,60.0,1,Descente St Esprit,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,58,74,4292,,,squ_rect,4292,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-91a,L1768,91,0.446078431,L,1768,F,O,F,1,3.688879454,40.0,1,NS benit St Pierre,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,54,42,2268,,,squ_rect,2268,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-91b,L1768,91,0.446078431,L,1768,F,O,F,1,3.688879454,40.0,1,Incrudilite de St Thomas,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,54,42,2268,,,squ_rect,2268,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-92a,L1768,92,0.450980392,L,1768,F,O,F,1,3.401197382,30.0,1,JC appostres emmaus,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,58,48,2784,,,squ_rect,2784,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-92b,L1768,92,0.450980392,L,1768,F,O,F,1,3.401197382,30.0,1,Benediction du pain,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,58,48,2784,,,squ_rect,2784,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-93,L1768,93,0.455882353,L,1768,F,O,F,1,3.401197382,30.0,1,NS precher a la montagne,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,58,46,2668,,,squ_rect,2668,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-94,L1768,94,0.460784314,L,1768,F,O,F,1,3.401197382,30.0,1,Ascencion,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,66,48,3168,,,squ_rect,3168,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-95,L1768,95,0.465686275,L,1768,F,O,F,1,3.401197382,30.0,1,JC conversant Apostres,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,50,68,3400,,,squ_rect,3400,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-96,L1768,96,0.470588235,L,1768,F,O,F,1,3.871201011,48.0,1,Saint & Saintes,"Vouet, Simon",0,n/a,Simon Vouet,Unknown,,,,,56,68,3808,,,squ_rect,3808,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-97,L1768,97,0.475490196,L,1768,F,O,F,1,3.871201011,48.0,1,NS montagne de Sinai,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,54,67,3618,,,squ_rect,3618,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-98,L1768,98,0.480392157,L,1768,F,O,F,1,3.871201011,48.0,1,Paysage figures et animaux,Moucheron Family,0,n/a,Moucheron,Unknown,,,,,30,24,720,,,squ_rect,720,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-99,L1768,99,0.485294118,L,1768,G,O,G,1,3.871201011,48.0,1,Vanite detruite,"Rottenhammer I, Hans",0,n/a,Rottenhammer,Unknown,,,,,34,26,884,,,squ_rect,884,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-100,L1768,100,0.490196078,L,1768,F,O,F,1,3.401197382,30.0,1,St Sebastien,Bonnart,0,n/a,Bonnard,Unknown,,,,,51,39,1989,,,squ_rect,1989,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-101a,L1768,101,0.495098039,L,1768,I,O,I,1,2.708050201,15.0,1,Fleurs,"Nuzzi (Mario dei Fiori), Mario",0,n/a,Mario Delfiory,Unknown,,,,,27,34,918,,,squ_rect,918,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-101b,L1768,101,0.495098039,L,1768,I,O,I,1,2.708050201,15.0,1,Fleurs,"Nuzzi (Mario dei Fiori), Mario",0,n/a,Mario Delfiory,Unknown,,,,,27,34,918,,,squ_rect,918,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-102,L1768,102,0.5,L,1768,F,O,F,1,2.48490665,12.0,1,Temps enleve la verite,"Le Sueur, Eustache",0,n/a,Eustache Lesueur,Unknown,,,,,5.5,5.5,30.25,,,squ_rect,30.25,ardoise,ar,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-103,L1768,103,0.504901961,L,1768,F,O,F,1,3.871201011,48.0,1,Nymphs et Faune,Varège,0,n/a,Warege,Unknown,,,,,,,,9.5,70.84625,round,70.84625,bois,b,wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1768-104a,L1768,104,0.509803922,L,1768,F,O,F,1,1.791759469,6.0,1,Fuite en Egypte,"La Hyre, Laurent de",0,n/a,Lahire,Unknown,,,,,3.5,3,10.5,,,squ_rect,10.5,cuivre,c,copper,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-104b,L1768,104,0.509803922,L,1768,F,O,F,1,1.791759469,6.0,1,NS au croix,"La Hyre, Laurent de",0,n/a,Lahire,Unknown,,,,,3.5,3,10.5,,,squ_rect,10.5,cuivre,c,copper,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-105,L1768,105,0.514705882,L,1768,F,O,F,1,2.197224577,9.0,1,9 tableaux differens petit portraits,"Largilliere, Nicolas de",0,n/a,Largiliere,Unknown,,,,,,,,,,squ_rect,,cuivre,c,copper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
L1768-106,L1768,106,0.519607843,L,1768,D/FL,O,D/FL,1,4.276666119,72.0,1,Repas Flamand,"Jordaens (J) the Elder, Jacob",0,n/a,Jacques Jordans,Unknown,,,,,31,44,1364,,,squ_rect,1364,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L1768-107,L1768,107,0.524509804,L,1768,D/FL,O,D/FL,1,4.276666119,72.0,1,Buveurs et fumeurs,"Tilborgh, Gillis van",0,n/a,Tilbork,Unknown,,,,,31,44,1364,,,squ_rect,1364,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L1768-108,L1768,108,0.529411765,L,1768,F,O,F,1,6.396929655,600.0,1,Sacrifice aux manes d'Auguste,"Poussin, Nicolas",0,n/a,Nicolas Poussin,Unknown,,,,,27,36,972,,,squ_rect,972,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-109a,L1768,109,0.534313725,L,1768,F,O,F,1,5.703782475,300.0,1,Paysage et figures,"Gellée (Lorrain), Claude",0,n/a,Claude Gelee dit Lorrain,Unknown,,,,,24,33,792,,,squ_rect,792,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-109b,L1768,109,0.534313725,L,1768,F,O,F,1,5.703782475,300.0,1,Paysage et figures,"Gellée (Lorrain), Claude",0,n/a,Claude Gelee dit Lorrain,Unknown,,,,,24,33,792,,,squ_rect,792,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-110,L1768,110,0.539215686,L,1768,F,O,F,1,3.17805383,24.0,1,Intrument de musique,Boyer,0,n/a,Boyer,Unknown,,,,,48,36,1728,,,squ_rect,1728,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-111,L1768,111,0.544117647,L,1768,F,O,F,1,1.791759469,6.0,1,autre tableay,Boyer,0,n/a,Boyer,Unknown,,,,,48,36,1728,,,squ_rect,1728,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-112,L1768,112,0.549019608,L,1768,D/FL,O,D/FL,1,2.48490665,12.0,1,Foire de Flandre,Bredael Family,0,n/a,Wanbreda,Unknown,,,,,24,42,1008,,,squ_rect,1008,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L1768-113,L1768,113,0.553921569,L,1768,X,O,X,1,3.17805383,24.0,1,St Jean desert,"taste of Barbieri (Guercino), Giovanni Francesco",0,taste of,gout Gouarchin,Unknown,,,,,48,36,1728,,,squ_rect,1728,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-114,L1768,114,0.558823529,L,1768,F,O,F,1,2.890371758,18.0,1,St Augustin,"Vignon, Claude",0,n/a,Vignon,Unknown,,,,,48,36,1728,,,squ_rect,1728,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-115a,L1768,115,0.56372549,L,1768,F,O,F,1,4.605170186,100.0,1,Conception Vierge,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,48,72,3456,,,squ_rect,3456,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-115b,L1768,115,0.56372549,L,1768,F,O,F,1,4.605170186,100.0,1,Nativite Vierge,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,48,72,3456,,,squ_rect,3456,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-116a,L1768,116,0.568627451,L,1768,F,O,F,1,4.605170186,100.0,1,Presentation Vierge Temple,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,48,72,3456,,,squ_rect,3456,coutil,co,other,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-116b,L1768,116,0.568627451,L,1768,F,O,F,1,4.605170186,100.0,1,Annonciation,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,48,72,3456,,,squ_rect,3456,coutil,co,other,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-117a,L1768,117,0.573529412,L,1768,F,O,F,1,4.605170186,100.0,1,Visit Vierge Elisabeth,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,48,72,3456,,,squ_rect,3456,coutil,co,other,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-117b,L1768,117,0.573529412,L,1768,F,O,F,1,4.605170186,100.0,1,Presnetation jesus Temple,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,48,72,3456,,,squ_rect,3456,coutil,co,other,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-118a,L1768,118,0.578431373,L,1768,F,O,F,1,4.605170186,100.0,1,Mort Vierge,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,48,72,3456,,,squ_rect,3456,coutil,co,other,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-118b,L1768,118,0.578431373,L,1768,F,O,F,1,4.605170186,100.0,1,Assomption Vierge,"Baugin, Lubin",0,n/a,Lubin-Bagin,Unknown,,,,,48,72,3456,,,squ_rect,3456,coutil,co,other,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-119,L1768,119,0.583333333,L,1768,F,O,F,1,4.787491743,120.0,1,David harpe (d'apres Dominichain),"Mignard (P), Pierre",0,n/a,Mignard,Unknown,,,,,84,66,5544,,,squ_rect,5544,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-120,L1768,120,0.588235294,L,1768,F,O,F,1,2.48490665,12.0,1,Paysage et figures,"Poussin, Nicolas",0,n/a,Nicolas Poussin,Unknown,,,,,72,66,4752,,,squ_rect,4752,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-121,L1768,121,0.593137255,L,1768,F,O,F,1,6.396929655,600.0,1,Serpent d'Airain,"La Fosse, Charles de",0,n/a,Lafosse,Unknown,,,,,60,72,4320,,,squ_rect,4320,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-122,L1768,122,0.598039216,L,1768,F,O,F,1,4.787491743,120.0,1,Sainte famille (d'apres Raphael),"Mignard (P), Pierre",0,n/a,Mignard,Unknown,,,,,84,54,4536,,,squ_rect,4536,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-123,L1768,123,0.602941176,L,1768,X,O,X,1,4.430816799,84.0,1,Multiplication des enfans (apr Letitien),"after Vecellio, Tiziano",0,after,after Titian,Unknown,,,,,48,67,3216,,,squ_rect,3216,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-124,L1768,124,0.607843137,L,1768,F,O,F,1,4.605170186,100.0,1,Transfiguration de NS,"Ollivier (MB), Michel-Barthélémy",1,n/a,Olivier,Unknown,,,,,60,84,5040,,,squ_rect,5040,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-125,L1768,125,0.612745098,L,1768,F,O,F,1,4.605170186,100.0,1,S.Nicholas,"Galloche, Louis",0,n/a,Galoche,Unknown,,,,,84,46,3864,,,squ_rect,3864,toile centree,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-126a,L1768,126,0.617647059,L,1768,F,O,F,1,2.197224577,9.0,1,Paysage et figures,"Le Clerc, Sébastien",0,n/a,Lecler,Unknown,,,,,24,50,1200,,,squ_rect,1200,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-126b,L1768,126,0.617647059,L,1768,F,O,F,1,2.197224577,9.0,1,Paysage et figures,"Le Clerc, Sébastien",0,n/a,Lecler,Unknown,,,,,24,50,1200,,,squ_rect,1200,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-127,L1768,127,0.62254902,L,1768,F,O,F,1,3.871201011,48.0,1,Paysage et figures,"Le Clerc, Sébastien",0,n/a,Lecler,Unknown,,,,,,13,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-128,L1768,128,0.62745098,L,1768,I,O,I,1,1.791759469,6.0,1,NS jardin d'olives,"Bassano (Jacopo da Ponte), Jacopo",0,n/a,Jacques Bassun,Unknown,,,,,12,8.5,102,,,squ_rect,102,cuivre,c,copper,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-129,L1768,129,0.632352941,L,1768,F,O,F,1,3.401197382,30.0,1,Louis XIV,"Rigaud, Hyacinthe",0,n/a,Hyacinthe Rigaud,Unknown,,,,,60,48,2880,,,squ_rect,2880,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
L1768-130,L1768,130,0.637254902,L,1768,F,O,F,1,2.708050201,15.0,1,Eludes d'animaux,"Oudry, Jean-Baptiste",0,n/a,Oudry,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-131a,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-131b,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-131c,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-131d,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-131e,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-131f,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-131g,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-131h,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-131i,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-131j,L1768,131,0.642156863,L,1768,F,O,F,1,0.693147181,2.0,1,(10) tableaux Fleurs et fruits,"Monnoyer (JB), Jean-Baptiste",0,n/a,Monoier,Unknown,,,,,,,,,,squ_rect,,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1768-190,L1768,190,0.931372549,L,1768,F,O,F,1,3.17805383,24.0,1,JC temple avec docteurs,Corneille Family,0,n/a,Corneille,Unknown,,,,,36,48,1728,,,squ_rect,1728,n/a,n/a,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-191,L1768,191,0.93627451,L,1768,F,O,F,1,3.17805383,24.0,1,Moyse change verge en serpent,"Bourdon, Sébastien",0,n/a,Sebastien Bourdon,Unknown,,,,,108,108,11664,,,squ_rect,11664,n/a,n/a,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-192,L1768,192,0.941176471,L,1768,F,O,F,1,4.605170186,100.0,1,Serpent d'airain,"Bourdon, Sébastien",0,n/a,Sebastien Bourdon,Unknown,,,,,108,144,15552,,,squ_rect,15552,n/a,n/a,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-193,L1768,193,0.946078431,L,1768,F,O,F,1,3.17805383,24.0,1,Multiplication poissons,"Quillier, Crépin",0,n/a,Quillier,Unknown,,,,,108,228,24624,,,squ_rect,24624,n/a,n/a,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-194,L1768,194,0.950980392,L,1768,F,O,F,1,3.871201011,48.0,1,Saint benoit et JC,Corneille Family,0,n/a,Corneille,Unknown,,,,,120,87,10440,,,squ_rect,10440,n/a,n/a,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-195a,L1768,195,0.955882353,L,1768,F,O,F,1,2.48490665,12.0,1,"(4)JC, Joseph, Concept Vierge, croix","Baugin, Lubin",0,n/a,Baugin,Unknown,,,,,,,,,,squ_rect,,n/a,n/a,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-195b,L1768,195,0.955882353,L,1768,F,O,F,1,2.48490665,12.0,1,"(4)JC, Joseph, Concept Vierge, croix","Baugin, Lubin",0,n/a,Baugin,Unknown,,,,,,,,,,squ_rect,,n/a,n/a,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-195c,L1768,195,0.955882353,L,1768,F,O,F,1,2.48490665,12.0,1,"(4)JC, Joseph, Concept Vierge, croix","Baugin, Lubin",0,n/a,Baugin,Unknown,,,,,,,,,,squ_rect,,n/a,n/a,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-195d,L1768,195,0.955882353,L,1768,F,O,F,1,2.48490665,12.0,1,"(4)JC, Joseph, Concept Vierge, croix","Baugin, Lubin",0,n/a,Baugin,Unknown,,,,,,,,,,squ_rect,,n/a,n/a,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-196,L1768,196,0.960784314,L,1768,F,O,F,1,4.276666119,72.0,1,"Vierge,Jospeh, JC","Jouvenet, Jean",0,n/a,Jean Jouvenet,Unknown,,,,,48,37,1776,,,squ_rect,1776,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1768-201,L1768,201,0.985294118,L,1768,F,O,F,1,3.871201011,48.0,1,Calypso,"Forest, Jean-Baptiste",0,n/a,Forrest,Unknown,,,,,42,54,2268,,,squ_rect,2268,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
L1768-202,L1768,202,0.990196078,L,1768,F,O,F,1,4.276666119,72.0,1,Paysages et figures,Mariage,0,n/a,Marriage,Unknown,,,,,24,27,648,,,squ_rect,648,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
