name,country,parent,total,dems,repubs,year
US Surgical Corp (Tyco International),Ireland,Tyco International,0,0,0,2002
USFilter Corp,France,Vivendi Environnement,1500,1500,0,2002
Wackenhut Corp (Group 4 Falck),Denmark,Group 4 Falck,20250,4250,16000,2002
Wackenhut Corrections Corp (Group 4 Falck),Denmark,Group 4 Falck,0,0,0,2002
Westfield Corp,Australia,Westfield Group of Australia,23619,21619,2000,2002
Westinghouse Electric,UK,British Nuclear Fuels PLC,5250,500,4750,2002
Wexler & Walker Public Policy Assoc (WPP Group),UK,WPP Group,93500,34000,59500,2002
Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services Group,98182,32000,66182,2002
7-Eleven,Japan,Ito-Yokado,750,0,750,2004
ABB Group,Switzerland,Asea Brown Boveri,16500,6500,10000,2004
Accenture,Bermuda,Accenture plc,197071,54124,142947,2004
ACE INA,UK,ACE Ltd,169900,39500,130400,2004
AE Staley Manufacturing (Tate & Lyle),UK,Tate & Lyle,11500,500,11000,2004
AEGON USA,Netherlands,Aegon NV,174500,72000,102500,2004
AIM Management Group,UK,AMVESCAP,18500,5000,13500,2004
Air Liquide America,France,L'Air Liquide SA,12925,4750,8175,2004
Alcatel USA,France,Alcatel,12500,1000,11500,2004
Alcon Laboratories (Nestle SA),Switzerland,Nestle,34220,8500,25720,2004
Allfirst Financial,Ireland,Allied Irish Banks,0,0,0,2004
Allianz of America (Allianz),Germany,Allianz AG Holding,116750,40400,76350,2004
Allied Domecq Spirits & Wine,UK,Allied Domecq,43500,12000,31500,2004
Anglogold Ltd,UK,Anglo American PLC,6500,3000,3500,2004
APL Ltd,Singapore,Neptune Orient Lines Ltd,16500,11000,5500,2004
Arcadis G&M,Netherlands,Arcadis NV,11200,1200,10000,2004
AREVA Inc,France,Areva Group,18500,2000,16500,2004
ASARCO LLC,Mexico,Nueva Grupo Mexico,0,0,0,2004
AstraZeneca Pharmaceuticals (AstraZeneca Pharmaceuticals),UK,AstraZeneca,219130,61630,157500,2004
ATOFINA Chemicals (TOTAL SA),France,TOTAL SA,22000,2500,19500,2004
Aventis Pasteur USA (Sanofi-Aventis),France,Sanofi-Aventis,105300,45000,60300,2004
Aventis Pharmaceuticals (Sanofi-Aventis),France,Sanofi-Aventis,109265,25515,83750,2004
AXA Equitable Life Insurance (AXA Financial),France,AXA,149500,39000,110500,2004
Babcock & Wilcox (McDermott International),Panama,McDermott International,26000,7000,19000,2004
Bacardi USA,UK,Bacardi Ltd,13973,4000,9973,2004
BAE Systems Information Technology (BAE Systems North America),UK,BAE Systems,0,0,0,2004
BAE Systems North America (BAE Systems),UK,BAE Systems,302150,134100,168050,2004
Ballard Power Systems,Canada,Ballard Power Systems,5000,5000,0,2004
Barrick Goldstrike Mines,Canada,Barrick Gold Corp,60000,14000,46000,2004
BASF Corp,Germany,BASF Group,92000,10500,81500,2004
Bayer Corp,Germany,Bayer AG,250500,59000,191500,2004
BNFL Inc (BNFL PLC),UK,British Nuclear Fuels PLC,23500,1000,22500,2004
BOC Group,UK,BOC Group,0,0,0,2004
Bombardier Transportation USA,Canada,Bombardier Inc,19025,4500,14525,2004
BP,UK,BP PLC,219999,83500,136499,2004
Bridgestone Americas,Japan,Bridgestone Corp,107250,34000,73250,2004
Budd Co,Germany,ThyssenKrupp Steel,15827,3000,12827,2004
Burson-Marsteller (WPP Group),UK,WPP Group,78250,29500,46250,2004
Buzzi Unicem USA,Italy,Buzzi Unicem SpA,5500,0,5500,2004
BWX Technologies (McDermott International),Panama,McDermott International,75499,15500,59999,2004
California Portland Cement Co,Japan,Taiheiyo Cement Co,18650,2150,16500,2004
Case New Holland,Italy,Fiat SPA,52000,5500,46500,2004
CGI-AMS,Canada,Groupe CGI,0,0,0,2004
CGU Corp,UK,CGNU PLC,2000,2000,0,2004
Ciba Specialty Chemicals,Switzerland,Ciba Specialty Chemicals Holding,25070,9070,16000,2004
CIBC World Markets,Canada,Canadian Imperial Bank of Commerce,0,0,0,2004
Cooper Industries,Ireland,Cooper Industries Ltd,213000,0,208000,2004
Credit Suisse First Boston (Credit Suisse Group),Switzerland,Credit Suisse Group,379250,143250,236000,2004
DaimlerChrysler (DaimlerChrysler),Germany,DaimlerChrysler AG,440100,135220,304880,2004
Diageo North America,UK,Diageo PLC,39500,18000,21500,2004
Dial Corp,Germany,Henkel KGaA,28500,9000,19500,2004
Domnick Hunter Inc,UK,Domnick Hunter Group,1500,0,1500,2004
Eon US,Germany,Eon AG,19500,1000,18500,2004
Essroc Corp,Italy,Italcementi Group,7900,2500,5400,2004
Experian,UK,GUS plc,53250,17000,36250,2004
Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services Group,36350,3500,32850,2004
Food Lion,Belgium,Delhaize Group,36150,7900,28250,2004
Foster Wheeler,Switzerland,Foster Wheeler PLC,0,0,0,2004
Fresenius Medical Care North America,Germany,Fresenius Medical Care,7500,3000,4500,2004
Gambro BCT,Sweden,Gambro AB,4500,0,4500,2004
Genentech Inc (Roche Group),Switzerland,Roche Group,157750,83750,74000,2004
GKN Corp,UK,GKN PLC,4280,0,4280,2004
GlaxoSmithKline,UK,GlaxoSmithKline,744999,224496,520503,2004
Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,27500,12750,14750,2004
Great-West Life & Annuity Insurance,Canada,Power Financial Corp,47000,5000,42000,2004
Greyhound Lines,Canada,Laidlaw,30000,14000,16000,2004
Heineken USA,Netherlands,Heineken NV,26000,9000,17000,2004
Herbalife International,UK,Herbalife Ltd,53280,22780,30500,2004
Hill & Knowlton (WPP Group),UK,WPP Group,15000,5750,9250,2004
Hoffmann-La Roche (Roche Group),Switzerland,Roche Group,89000,28500,60500,2004
Holcim US,Switzerland,Holcim Ltd,43408,12608,30800,2004
HSBC North America (HSBC Holdings),UK,HSBC Holdings,566920,214171,352749,2004
HSBC USA (HSBC Holdings),UK,HSBC Holdings,3100,3000,100,2004
Infineon Technologies,Germany,Infineon Technologies AG,10950,3000,7950,2004
ING Americas (ING Group),Netherlands,ING Group,77500,36000,41500,2004
Instinet Corp,UK,Reuters Group,41500,13500,28000,2004
International Securities Exchange,Germany,Deutsche Boerse,6000,4000,2000,2004
Jackson National Life Insurance,UK,Prudential PLC,45350,15500,29850,2004
John Hancock Financial Services,Canada,Manulife Financial,59000,38000,21000,2004
Kennecott Holdings,UK,Rio Tinto PLC,78200,17500,59700,2004
LaFarge North America,France,Lafarge SA,56000,17000,39000,2004
LaSalle Bank (ABN AMRO),Netherlands,ABN Amro Holding,108750,61250,47500,2004
Learjet Inc,Canada,Bombardier Inc,4000,0,4000,2004
Lehigh Cement,Germany,Heidelberger Zement,22500,3000,19500,2004
Loral Space & Communications,UK,Loral Space & Communications,84000,62000,22000,2004
Maersk Inc (AP Moller-Maersk),Denmark,AP Moller-Maersk,57675,21500,36175,2004
Massachusetts Financial Services,Canada,Sun Life Financial Services,5000,3000,2000,2004
McDermott International (McDermott International),Panama,McDermott International,18500,6500,12000,2004
Miller Brewing,UK,SABMiller PLC,68500,29000,39500,2004
MONY Group (AXA Financial),France,AXA,24500,7500,17000,2004
Nestle Purina PetCare (Nestle SA),Switzerland,Nestle,15000,3000,12000,2004
Nestle USA (Nestle SA),Switzerland,Nestle,40250,17250,23000,2004
Nestle Waters North America (Nestle SA),Switzerland,Nestle,600,0,600,2004
News America Publishing (News Corporation),Australia,News Corp,210500,108000,102500,2004
Norwegian Cruise Line,Malaysia,Genting Group,0,0,0,2004
Novartis Corp (Novartis AG),Switzerland,Novartis AG,232428,73191,159237,2004
Oldcastle Materials,Ireland,CRH PLC,288307,121900,166407,2004
Organon Inc,Netherlands,Akzo Nobel,0,0,0,2004
PacifiCorp,UK,Scottish Power,6500,1000,5500,2004
Peter Pan Seafoods,Japan,Nichiro Corp,4500,250,4250,2004
Philips Electronics North America,Netherlands,Philips Electronics,59710,9000,50710,2004
PotashCorp,Canada,Potash Corporation of Saskatchewan,12250,1500,10750,2004
RBC Centura Banks,Canada,Royal Bank of Canada,5250,1250,4000,2004
Reed Elsevier Inc,UK,Reed Elsevier Group,50500,13500,37000,2004
Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce International,137000,40000,97000,2004
Sagem Morpho Inc,France,Sagem SA,9950,9950,0,2004
SAP America,Germany,SAP Aktiengesellschaft,146250,56500,89750,2004
Schaeffler Group USA,Germany,Schaeffler Group,13000,6000,7000,2004
"Schroder, Salomon et al (Citigroup Inc)",UK,Schroders PLC,0,0,0,2004
Securitas Security Services USA,Sweden,Securitas AB,9000,3000,6000,2004
Serono Inc,Switzerland,Serono SA,8500,6000,2500,2004
SES Americom,Luxembourg,SES Global,14500,8000,6500,2004
Shaklee Corp,Japan,Yamanouchi Pharmaceutical,0,0,0,2004
Shell Oil (Shell Oil),Netherlands,Royal Dutch-Shell Group,80500,13000,67500,2004
Siemens Corp (Siemens AG),Germany,Siemans AG,324299,133799,190500,2004
Smith & Nephew,UK,Smith & Nephew Plc,22500,5000,17500,2004
Sodexho Inc,France,Sodexho Alliance,29750,24250,5500,2004
Solvay Pharmaceuticals,Belgium,Solvay SA,21000,3000,18000,2004
Sony Pictures Entertainment (Sony Corp of America),Japan,Sony Corp,225500,89000,136500,2004
Standard Federal Bank (ABN AMRO),Netherlands,ABN Amro Holding,24342,9342,15000,2004
Swedish Match North America,Sweden,Swedish Match AB,32212,-500,32712,2004
Syngenta Corp,Switzerland,Syngenta AG,73200,18000,55200,2004
Syntex (USA) Inc,Switzerland,Roche Holdings,0,0,0,2004
T-Mobile USA,Germany,Deutsche Telekom AG,75000,38500,36500,2004
TOTAL Petrochemicals (TOTAL SA),France,TOTAL SA,4500,500,4000,2004
Tractebel North America,France,SUEZ SA,27500,12500,15000,2004
Tyco International (Tyco International),Ireland,Tyco International,78000,15000,63000,2004
UBS Americas,Switzerland,UBS AG,468100,159100,304000,2004
UnionBanCal Corp,Japan,Bank of Tokyo,8500,7500,1000,2004
United Water,France,SUEZ SA,13000,9500,3500,2004
Universal Music Group (Vivendi),France,Vivendi Universal,13000,4500,8500,2004
USFilter Corp (Siemens AG),Germany,Siemens AG,19500,500,19000,2004
VT Halter Marine,Singapore,ST Engineering,9000,2000,7000,2004
Wackenhut Corp,Denmark,Group 4 Securicor,41250,12250,29000,2004
Westfield Corp,Australia,Westfield Group of Australia,33205,24969,6998,2004
Westinghouse Electric (BNFL PLC),UK,British Nuclear Fuels PLC,10000,2500,7500,2004
Wexler & Walker Public Policy Assoc (WPP Group),UK,WPP Group,100000,30500,69500,2004
Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services Group,195869,59000,135369,2004
7-Eleven,Japan,Seven & I Holdings,0,0,0,2006
ABB Group,Switzerland,Asea Brown Boveri,9250,2250,6500,2006
Accenture (Accenture),Bermuda,Accenture plc,0,0,0,2006
Accenture (Accenture),Bermuda,Accenture plc,313380,115680,195700,2006
ACE INA,UK,ACE Ltd,108000,33000,75000,2006
AEGON USA,Netherlands,Aegon NV,156500,59000,96000,2006
Agrium US,Canada,Agrium Inc,0,0,0,2006
AIM Management Group,UK,AMVESCAP,32000,12500,19500,2006
Air Liquide America,France,L'Air Liquide SA,4000,2000,2000,2006
Alcatel-Lucent Holding (Alcatel-Lucent),France,Alcatel-Lucent,20000,8000,12000,2006
Alcatel-Lucent Holding (Alcatel-Lucent),France,Alcatel-Lucent,68000,25000,43000,2006
Alcon Laboratories (Nestle SA),Switzerland,Nestle,40826,3500,37326,2006
Allianz of America (Allianz),Germany,Allianz AG Holding,119650,38100,80550,2006
Allied Domecq Spirits & Wine,France,Pernod Ricard SA,17575,3515,14060,2006
APL Ltd,Singapore,Neptune Orient Lines Ltd,31000,13500,17500,2006
Arcadis G&M,Netherlands,Arcadis NV,46800,11000,35800,2006
AREVA Inc,France,Areva Group,95500,32000,58500,2006
Arkema Inc,France,Arkema,19000,2000,17000,2006
AstraZeneca Pharmaceuticals (AstraZeneca Pharmaceuticals),UK,AstraZeneca,384320,105820,276500,2006
Aviva USA,UK,Aviva PLC,2000,2000,0,2006
AXA Equitable Life Insurance (AXA Financial),France,AXA,115000,49000,66000,2006
Babcock & Wilcox (McDermott International),Panama,McDermott International,30000,4000,26000,2006
Bacardi USA,UK,Bacardi Ltd,14990,3490,9500,2006
BAE Systems (BAE Systems),UK,BAE Systems,509499,189500,311999,2006
BAE Systems Information Technology (BAE Systems North America),UK,BAE Systems,0,0,0,2006
BAE Systems Land & Armaments (BAE Systems),UK,BAE Systems,295500,79000,214500,2006
Ballard Power Systems,Canada,Ballard Power Systems,2000,2000,0,2006
BancWest Corp,France,BNP Paribas,5500,2500,3000,2006
Barrick Goldstrike Mines,Canada,Barrick Gold Corp,59000,24000,34000,2006
BASF Corp,Germany,BASF Group,151000,17000,133000,2006
Bayer Corp,Germany,Bayer AG,255000,52500,198500,2006
BOC Group,UK,BOC Group,0,0,0,2006
Boehringer Ingelheim Corp,Germany,CH Boehringer Sohn,16800,4300,11500,2006
Bombardier Transportation USA,Canada,Bombardier Inc,9850,5500,4350,2006
BP,UK,BP PLC,219500,75000,142500,2006
Bridgestone Americas,Japan,Bridgestone Corp,108750,39000,69750,2006
Burson-Marsteller (WPP Group),UK,WPP Group,65500,27500,36500,2006
Buzzi Unicem USA,Italy,Buzzi Unicem SpA,15000,3500,11500,2006
BWX Technologies (McDermott International),Panama,McDermott International,153500,37000,114500,2006
California Portland Cement Co,Japan,Taiheiyo Cement Co,38860,4360,34500,2006
Case New Holland,Italy,Fiat SPA,44500,7500,37000,2006
CGI-AMS,Canada,Groupe CGI,0,0,0,2006
CGU Corp,UK,CGNU PLC,6500,6500,0,2006
Ciba Specialty Chemicals,Switzerland,Ciba Specialty Chemicals Holding,18000,5000,13000,2006
CIBC World Markets,Canada,Canadian Imperial Bank of Commerce,0,0,0,2006
Cooper Industries,Ireland,Cooper Industries Ltd,145000,4500,140500,2006
Credit Suisse Securities,Switzerland,Credit Suisse Group,509220,243220,261000,2006
DaimlerChrysler (DaimlerChrysler),Germany,DaimlerChrysler AG,416090,140590,273500,2006
Deutsche Bank Securities,Germany,Deutsche Bank AG,0,0,0,2006
DHL (Deutsche Post AG),Germany,Deutsche Post AG,0,0,0,2006
Diageo North America,UK,Diageo PLC,64000,19500,34500,2006
Dial Corp,Germany,Henkel KGaA,22750,6000,16750,2006
EADS North America,Netherlands,European Aeronautic Defence & Space Co,31900,9000,20800,2006
EmCare Inc,Canada,Onex Corp,0,0,0,2006
Eon US,Germany,Eon AG,19000,3000,16000,2006
Essroc Corp,Italy,Italcementi Group,3500,1000,2500,2006
Experian,UK,Experian plc,191353,77753,112600,2006
Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services Group,123500,23000,99500,2006
Food Lion,Belgium,Delhaize Group,21250,4500,16750,2006
Foster Wheeler,Switzerland,Foster Wheeler PLC,17550,300,17250,2006
Fresenius Medical Care North America,Germany,Fresenius Medical Care,86700,36300,50400,2006
Gambro BCT,Sweden,Gambro AB,0,0,0,2006
GDF Suez Energy North America,France,SUEZ SA,83008,23000,60008,2006
Genentech Inc (Roche Group),Switzerland,Roche Group,201500,76500,115000,2006
GKN Corp,UK,GKN PLC,6000,0,6000,2006
GlaxoSmithKline,UK,GlaxoSmithKline,891413,256686,623727,2006
Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,34032,14657,19375,2006
Great-West Life & Annuity Insurance,Canada,Power Financial Corp,34500,9000,25500,2006
Greyhound Lines,Canada,Laidlaw,27000,16000,11000,2006
Heineken USA,Netherlands,Heineken NV,69500,36500,30500,2006
Herbalife International,UK,Herbalife Ltd,99894,48144,51750,2006
Hill & Knowlton (WPP Group),UK,WPP Group,8750,4000,4750,2006
Hoffmann-La Roche (Roche Group),Switzerland,Roche Group,180900,69000,111900,2006
Holcim US,Switzerland,Holcim Ltd,52000,20000,32000,2006
HSBC North America,UK,HSBC Holdings,681210,249450,421760,2006
Infineon Technologies,Germany,Infineon Technologies AG,9300,3400,4900,2006
ING Americas (ING Group),Netherlands,ING Group,80500,34500,42000,2006
Intelsat Holdings,Luxembourg,Intelsat SA,15500,11000,4500,2006
Intermagnetics General Corp,Netherlands,Philips Electronics,33900,22900,11000,2006
International Securities Exchange,Germany,Deutsche Boerse,8000,7000,1000,2006
Jackson National Life Insurance,UK,Prudential PLC,48500,8500,40000,2006
John Hancock Financial Services,Canada,Manulife Financial,50880,31380,18500,2006
Kennecott Holdings,UK,Rio Tinto PLC,66000,10500,55500,2006
LaFarge North America (Lafarge SA),France,Lafarge SA,0,0,0,2006
LaFarge North America (Lafarge SA),France,Lafarge SA,55500,23000,32500,2006
LaSalle Bank,Netherlands,ABN Amro Holding,90250,48000,42250,2006
Learjet Inc,Canada,Bombardier Inc,1000,0,1000,2006
Lehigh Cement,Germany,Heidelberger Zement,18500,3000,15500,2006
Loral Space & Communications,UK,Loral Space & Communications,33482,23482,10000,2006
Maersk Inc (AP Moller-Maersk),Denmark,AP Moller-Maersk,73500,16500,57000,2006
Massachusetts Financial Services (Sun Life Financial),Canada,Sun Life Financial Services,11000,5000,6000,2006
McDermott International (McDermott International),Panama,McDermott International,15500,3000,12500,2006
Metro-Goldwyn-Mayer (Sony Corp of America),Japan,Sony Corp,5200,1000,4200,2006
Miller Brewing,UK,SABMiller PLC,112000,37500,74500,2006
MONY Group (AXA Financial),France,AXA,0,0,0,2006
Nestle Purina PetCare (Nestle SA),Switzerland,Nestle,23250,5500,17750,2006
Nestle USA (Nestle SA),Switzerland,Nestle,31000,16000,15000,2006
Nestle Waters North America (Nestle SA),Switzerland,Nestle,9500,0,3500,2006
Norwegian Cruise Line,Malaysia,Genting Group,37000,19000,18000,2006
Novartis Corp (Novartis AG),Switzerland,Novartis AG,239663,65618,173045,2006
Novartis Vaccines & Diagnostics (Novartis Corp),Switzerland,Novartis AG,16100,9000,6100,2006
Novo Nordisk,Denmark,Novo Nordisk A/S,7500,3000,4500,2006
Oldcastle Materials,Ireland,CRH PLC,257500,98000,149500,2006
Organon Inc,Netherlands,Akzo Nobel,0,0,0,2006
Peter Pan Seafoods,Japan,Nichiro Corp,6700,500,6200,2006
Pharmavite LLC,Japan,Otsuka Pharmaceutical,21230,11230,10000,2006
Philips Electronics North America,Netherlands,Philips Electronics,70467,12900,56567,2006
PotashCorp,Canada,Potash Corporation of Saskatchewan,20000,4000,16000,2006
PPM Energy,UK,Scottish Power,3000,1000,2000,2006
Qimonda North America,Germany,Qimonda AG,1000,0,1000,2006
RBC Centura Banks,Canada,Royal Bank of Canada,2000,0,2000,2006
Reebok International,Germany,adidas AG,30100,19900,8200,2006
Reed Elsevier Inc,UK,Reed Elsevier Group,64000,18000,46000,2006
Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce International,155000,40500,114500,2006
Sagem Morpho Inc,France,Sagem SA,0,0,0,2006
Sanofi-Aventis US (Sanofi-Aventis),France,Sanofi-Aventis,125500,21500,99000,2006
Sanofi-Pasteur Inc (Sanofi-Aventis),France,Sanofi-Aventis,120335,34000,86335,2006
SAP America,Germany,SAP Aktiengesellschaft,160700,43000,115200,2006
Schaeffler Group USA,Germany,Schaeffler Group,12000,4000,6000,2006
"Schroder, Salomon et al (Citigroup Inc)",UK,Schroders PLC,0,0,0,2006
Securitas Security Services USA,Sweden,Securitas AB,12250,250,11000,2006
Serono Inc,Switzerland,Serono SA,5500,4500,1000,2006
SES Americom,Luxembourg,SES Global,13500,3500,10000,2006
Shell Oil (Shell Oil),Netherlands,Royal Dutch-Shell Group,71500,10000,61500,2006
Shire Pharmaceuticals,UK,Shire Plc,0,0,0,2006
Siemens Corp (Siemens AG),Germany,Siemans AG,317999,133000,183999,2006
Smith & Nephew,UK,Smith & Nephew Plc,27000,10000,16000,2006
Sodexho Inc,France,Sodexho Alliance,38500,26500,12000,2006
Solvay Pharmaceuticals,Belgium,Solvay SA,59000,11000,48000,2006
Sony Pictures Entertainment (Sony Corp of America),Japan,Sony Corp,224649,100500,123149,2006
Spirit Aerosystems,Canada,Onex Corp,0,0,0,2006
Sun Life Assurance of Canada (Sun Life Financial),Canada,Sun Life Financial,3000,2000,1000,2006
Swedish Match North America,Sweden,Swedish Match AB,39872,4000,35872,2006
Syngenta Corp,Switzerland,Syngenta AG,115250,34500,80750,2006
Syntex (USA) Inc,Switzerland,Roche Holdings,0,0,0,2006
T-Mobile USA,Germany,Deutsche Telekom AG,244500,101500,143000,2006
Tate & Lyle Americas (Tate & Lyle),UK,Tate & Lyle,16750,0,16750,2006
TOTAL Petrochemicals (TOTAL SA),France,TOTAL SA,2000,1000,1000,2006
Travelport Inc (Blackstone Group),UK,Travelport Ltd,0,0,0,2006
Tyco International (Tyco International),Ireland,Tyco International,190000,42000,145500,2006
UBS Americas,Switzerland,UBS AG,752100,299100,438000,2006
UnionBanCal Corp,Japan,Bank of Tokyo,14250,7750,6500,2006
United Water,France,SUEZ SA,19800,18800,1000,2006
Universal Music Group (Vivendi),France,Vivendi,147226,63250,82476,2006
USFilter Corp (Siemens AG),Germany,Siemens AG,0,0,0,2006
VT Halter Marine,Singapore,ST Engineering,3500,500,3000,2006
Wackenhut Corp,Denmark,Group 4 Securicor,19600,0,19600,2006
Westfield Corp,Australia,Westfield Group of Australia,26088,21088,5000,2006
Westinghouse Electric,Japan,Toshiba Corp,21500,4000,17500,2006
Wexler & Walker Public Policy Assoc (WPP Group),UK,WPP Group,104500,37000,66500,2006
Willis North America,UK,Willis Group,7000,3000,4000,2006
ZLB Behring,Australia,CSL Ltd,3500,0,3500,2006
Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services Group,211000,58500,149500,2006
7-Eleven,Japan,Seven & I Holdings,9500,2000,7500,2008
ABB Group,Switzerland,Asea Brown Boveri,18000,8000,10000,2008
Accenture (Accenture),Bermuda,Accenture plc,0,0,0,2008
Accenture (Accenture),Bermuda,Accenture plc,357750,189750,168000,2008
ACE INA,Switzerland,ACE Ltd,171500,82500,89000,2008
AEGON USA,Netherlands,Aegon NV,210497,107997,102500,2008
Agrium US,Canada,Agrium Inc,1500,0,1500,2008
Air Liquide America,France,L'Air Liquide SA,11000,8000,3000,2008
Alcatel-Lucent Holding (Alcatel-Lucent),France,Alcatel-Lucent,8500,4000,4500,2008
Alcatel-Lucent Holding (Alcatel-Lucent),France,Alcatel-Lucent,58500,28000,30500,2008
Alcon Laboratories (Nestle SA),Switzerland,Nestle,28496,1000,27496,2008
Allianz of America (Allianz),Germany,Allianz AG Holding,80050,28600,51450,2008
Anheuser-Busch,Belgium,Anheuser-Busch InBev,1510897,858223,652674,2008
APL Ltd,Singapore,Neptune Orient Lines Ltd,42500,28500,14000,2008
Arcadis US,Netherlands,Arcadis NV,72250,42250,30000,2008
ArcelorMittal USA,Luxembourg,ArcelorMittal,54500,29000,25500,2008
Arch Capital Group (US),UK,Arch Capital Group,13200,10900,2300,2008
AREVA Inc,France,Areva Group,95000,45500,49500,2008
Arkema Inc,France,Arkema,26500,10500,16000,2008
Armor Holdings (BAE Systems),UK,BAE Systems,25426,6600,18826,2008
Astellas US,Japan,Astellas Pharma,0,0,0,2008
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK,AstraZeneca PLC,549500,265500,284000,2008
Aviva USA,UK,Aviva PLC,500,0,500,2008
AXA Equitable Life Insurance (AXA),France,AXA,216000,137000,79000,2008
AXIS Specialty US Services (AXIS Capital),UK,AXIS Captial,0,0,0,2008
Babcock & Wilcox (McDermott International),Panama,McDermott International,250000,133000,117000,2008
Babcock & Wilcox (McDermott International),Panama,McDermott International,1000,1000,0,2008
Bacardi USA,UK,Bacardi Ltd,18000,7500,10500,2008
BAE Systems (BAE Systems),UK,BAE Systems,732250,313500,418750,2008
Ballard Power Systems,Canada,Ballard Power Systems,1700,1700,0,2008
BancWest Corp (BNP Paribas),France,BNP Paribas,3300,3300,0,2008
Barclays Group US,UK,Barclays plc,100000,53000,47000,2008
Barrick Goldstrike Mines,Canada,Barrick Gold Corp,63800,29500,34300,2008
BASF Corp,Germany,BASF SE,307000,109000,198000,2008
Bayer Corp,Germany,Bayer AG,271500,118000,153500,2008
BBVA Compass,Spain,Banco Bilbao Vizcaya Argentaria,125500,9500,116000,2008
Boehringer Ingelheim Corp,Germany,CH Boehringer Sohn,87800,33000,54800,2008
Bombardier Transportation USA (Bombardier Inc),Canada,Bombardier Inc,4500,3000,1500,2008
BP,UK,BP PLC,198500,81500,117000,2008
Bridgestone Americas,Japan,Bridgestone Corp,113000,56000,57000,2008
Burson-Marsteller (WPP Group),UK,WPP Group,58500,35500,21500,2008
Buzzi Unicem USA,Italy,Buzzi Unicem SpA,23250,4250,19000,2008
CalPortland Co,Japan,Taiheiyo Cement Co,204500,53000,151500,2008
CaridianBCT,Sweden,Gambro AB,1000,1000,0,2008
Case New Holland,Italy,Fiat SPA,60000,15000,45000,2008
CEMEX Inc,Mexico,CEMEX SA de CV,178100,68600,109500,2008
CGI Technologies & Solutions,Canada,Groupe CGI,21000,14000,7000,2008
Ciba Inc,Switzerland,Ciba Specialty Chemicals Holding,14900,5000,9900,2008
Citizens Financial Group,UK,Royal Bank of Scotland Group,165900,139650,26250,2008
Cobham Management Services,UK,Cobham PLC,0,0,0,2008
Commerce Bancorp,Canada,Toronto-Dominion Bank,35000,25000,10000,2008
Cooper Industries,Ireland,Cooper Industries Ltd,156700,77000,79700,2008
Covidien US,UK,Covidien Ltd,111500,45000,66500,2008
Credit Suisse Securities,Switzerland,Credit Suisse Group,517000,274500,242500,2008
CSL Behring,Australia,CSL Ltd,16750,5500,11250,2008
Daiichi Sankyo Inc,Japan,Daiichi Sanyko,33900,14600,19300,2008
Deutsche Bank Securities,Germany,Deutsche Bank AG,7400,7400,0,2008
DHL (Deutsche Post AG),Germany,Deutsche Post AG,15000,7000,8000,2008
Diageo North America (Diageo PLC),UK,Diageo PLC,103500,69500,34000,2008
DRS Technologies,Italy,Finmeccanica SpA,304900,123500,181400,2008
EADS North America,Netherlands,European Aeronautic Defence & Space Co,159700,66600,93100,2008
Eisai Inc,Japan,Eisai Co Ltd,8500,2500,6000,2008
Elbit Systems of America,Israel,Elbit Systems Ltd,7500,4000,3500,2008
EmCare Inc (Onex Corp),Canada,Onex Corp,0,0,0,2008
EMD Serono Inc,Germany,Merck KGaA,62500,35000,27500,2008
EnCana Oil & Gas USA,Canada,EnCana Corp,0,0,0,2008
Eon US,Germany,Eon AG,21000,6000,15000,2008
Essroc Corp,Italy,Italcementi Group,9500,4500,5000,2008
Experian,UK,Experian plc,384781,139000,245781,2008
Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services AG,161400,45000,116400,2008
First Hawaiian Bank (BNP Paribas),France,BNP Paribas,1000,1000,0,2008
Food Lion,Belgium,Delhaize Group,54250,24000,30250,2008
Foster Wheeler,Switzerland,Foster Wheeler PLC,2500,0,2500,2008
Fresenius Medical Care North America,Germany,Fresenius Medical Care,92400,68700,23700,2008
Gateway Inc,Taiwan,Acer Inc,0,0,0,2008
GDF Suez Energy North America,France,GDF SUEZ,75000,36500,38500,2008
Genentech Inc (Roche Holdings),Switzerland,Roche Holdings,262500,186000,76500,2008
GKN Corp,UK,GKN PLC,3000,500,2500,2008
Glanbia Foods,Ireland,Glanbia PLC,250,0,250,2008
GlaxoSmithKline,UK,GlaxoSmithKline,811420,328870,482550,2008
Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,29050,18700,10350,2008
Great-West Life & Annuity Insurance (Power Financial Corp),Canada,Power Financial Corp,21500,13500,8000,2008
Greyhound Lines,UK,FirstGroup PLC,26000,16500,9500,2008
Hanson Building Products North America,Germany,Spohn Cement Gmbh,5787,3787,2000,2008
Heineken USA,Netherlands,L'Arche Green NV,56500,40500,16000,2008
